tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
31,1.0,602,7128,0,182,323,97,1,15.70,0.916,0.847,0.210,0.193,0.212,0.102,0.016,54,0,23,0,0,0
61,2.0,861,5575,0,201,485,175,1,24.77,0.997,0.928,0.186,0.260,0.172,0.102,0.037,74,0,48,0,0,0
91,3.0,1329,3473,0,214,811,304,2,26.89,1.077,1.020,0.153,0.329,0.133,0.101,0.050,77,0,107,0,0,0
121,4.0,1680,1765,0,228,1074,378,8,39.28,1.119,1.062,0.140,0.341,0.117,0.099,0.058,106,9,187,0,0,0
151,5.0,1770,964,322,243,1175,352,10,78.12,1.150,1.072,0.134,0.298,0.115,0.097,0.059,82,65,121,0,0,0
181,6.0,1691,382,322,252,1161,278,9,101.78,1.162,1.075,0.128,0.239,0.120,0.095,0.062,94,149,118,0,2,0
211,7.0,1525,204,322,267,1055,203,5,118.03,1.152,1.058,0.119,0.199,0.133,0.093,0.060,67,186,83,0,3,0
241,8.0,1361,256,322,287,915,159,8,142.86,1.128,1.033,0.118,0.170,0.154,0.093,0.059,72,186,71,0,1,0
271,9.0,1212,361,322,300,777,135,10,152.94,1.100,1.008,0.119,0.159,0.175,0.094,0.057,54,167,60,0,2,0
301,10.0,1191,400,201,346,729,116,12,178.77,1.067,0.975,0.114,0.139,0.201,0.096,0.056,63,112,49,0,2,0
331,11.0,1214,448,201,415,684,115,12,185.43,1.036,0.934,0.110,0.136,0.232,0.098,0.053,66,89,59,0,1,0
361,12.0,1296,486,201,509,688,99,14,190.88,1.004,0.893,0.103,0.120,0.264,0.101,0.056,69,83,65,0,0,0
391,13.0,1506,506,201,699,710,97,11,194.01,0.964,0.842,0.096,0.109,0.309,0.104,0.056,89,53,75,0,3,0
421,14.0,1864,461,201,974,791,99,13,171.07,0.932,0.798,0.092,0.098,0.345,0.108,0.056,120,45,102,0,0,0
451,15.0,2000,489,146,1166,741,93,14,158.70,0.892,0.745,0.092,0.085,0.383,0.111,0.053,131,42,112,0,0,0
481,16.0,2000,586,146,1229,688,83,14,164.74,0.872,0.714,0.092,0.075,0.402,0.113,0.051,149,40,109,0,2,0
511,17.0,2000,639,146,1280,650,70,18,162.35,0.861,0.688,0.092,0.065,0.419,0.114,0.050,173,41,118,0,0,0
541,18.0,2000,722,146,1313,625,62,29,195.79,0.853,0.674,0.091,0.061,0.430,0.114,0.049,147,35,106,0,0,0
571,19.0,2000,781,146,1356,586,58,35,210.36,0.840,0.656,0.091,0.059,0.443,0.114,0.047,150,20,104,0,0,0
601,20.0,2000,830,117,1382,561,57,44,202.13,0.833,0.648,0.091,0.060,0.450,0.115,0.045,147,15,108,0,1,0
631,21.0,2000,897,117,1414,529,57,58,220.74,0.825,0.633,0.093,0.060,0.461,0.115,0.043,168,14,78,0,0,0
661,22.0,2000,928,117,1427,516,57,73,237.49,0.820,0.627,0.094,0.059,0.464,0.115,0.043,155,6,42,0,1,0
691,23.0,2000,971,117,1444,503,53,75,270.47,0.816,0.622,0.094,0.056,0.469,0.116,0.042,142,5,78,0,3,0
721,24.0,2000,1076,117,1466,482,52,88,283.16,0.811,0.613,0.093,0.057,0.477,0.116,0.040,150,6,81,0,3,0
751,25.0,2000,1103,110,1478,470,52,112,300.49,0.807,0.607,0.093,0.058,0.481,0.116,0.040,160,4,78,0,1,0
781,26.0,2000,1138,110,1493,455,52,128,309.95,0.802,0.601,0.094,0.059,0.485,0.117,0.040,154,4,77,0,0,0
811,27.0,2000,1158,110,1504,443,53,148,342.67,0.797,0.597,0.097,0.060,0.488,0.117,0.039,134,2,70,0,2,0
841,28.0,2000,1209,110,1520,429,51,167,387.42,0.793,0.590,0.098,0.059,0.493,0.118,0.037,148,3,80,0,3,0
871,29.0,2000,1187,110,1520,429,51,203,379.76,0.792,0.591,0.101,0.060,0.492,0.118,0.037,136,1,58,0,0,0
901,30.0,2000,1219,102,1526,423,51,214,380.11,0.788,0.589,0.102,0.059,0.493,0.118,0.036,130,0,62,0,8,0
931,31.0,2000,1247,102,1531,413,56,244,365.48,0.784,0.586,0.103,0.061,0.495,0.118,0.036,133,1,56,0,6,0
961,32.0,2000,1176,102,1539,405,56,275,398.37,0.783,0.583,0.104,0.061,0.497,0.118,0.036,136,1,57,0,2,0
991,33.0,2000,1255,102,1540,401,59,286,413.52,0.783,0.583,0.105,0.063,0.497,0.118,0.036,128,2,54,0,9,0
1021,34.0,2000,1315,102,1549,392,59,311,442.04,0.782,0.580,0.106,0.064,0.500,0.119,0.036,119,1,65,0,3,0
1051,35.0,2000,1288,94,1556,382,62,341,420.57,0.779,0.576,0.105,0.066,0.502,0.118,0.036,123,1,78,0,1,0
1081,36.0,2000,1331,94,1571,369,60,341,446.18,0.774,0.571,0.107,0.065,0.507,0.119,0.036,128,2,74,0,8,0
1111,37.0,2000,1386,94,1573,366,61,369,449.38,0.774,0.570,0.108,0.065,0.508,0.119,0.036,129,1,39,0,9,0
1141,38.0,2000,1291,94,1573,363,64,387,488.97,0.773,0.570,0.109,0.065,0.508,0.119,0.036,145,0,42,0,8,0
1171,39.0,2000,1238,94,1570,362,68,405,514.98,0.773,0.573,0.108,0.066,0.507,0.118,0.035,114,1,62,0,10,0
1201,40.0,2000,1180,81,1586,349,65,427,532.98,0.768,0.569,0.107,0.065,0.512,0.119,0.035,122,2,58,0,9,0
1231,41.0,2000,1170,81,1596,345,59,457,534.05,0.764,0.568,0.107,0.062,0.514,0.118,0.034,125,5,51,0,6,0
1261,42.0,2000,1128,81,1607,337,56,488,549.85,0.759,0.564,0.107,0.061,0.517,0.118,0.034,104,2,50,0,6,0
1291,43.0,2000,1059,81,1612,332,56,523,553.45,0.758,0.562,0.108,0.063,0.518,0.118,0.034,131,1,61,0,18,0
1321,44.0,2000,951,81,1618,326,56,547,552.95,0.755,0.559,0.108,0.062,0.520,0.118,0.035,130,2,50,0,14,0
1351,45.0,2000,888,76,1631,312,57,588,567.70,0.750,0.556,0.110,0.060,0.523,0.119,0.036,136,1,48,0,15,0
1381,46.0,2000,892,76,1638,305,57,589,604.08,0.747,0.552,0.112,0.061,0.526,0.119,0.037,140,0,71,0,5,0
1411,47.0,2000,941,76,1650,291,59,619,607.41,0.742,0.548,0.112,0.061,0.529,0.119,0.037,146,1,55,0,13,0
1441,48.0,2000,852,76,1653,290,57,608,587.34,0.741,0.548,0.111,0.060,0.530,0.119,0.037,144,2,58,0,6,0
1471,49.0,2000,791,76,1657,291,52,604,578.53,0.740,0.549,0.111,0.060,0.531,0.119,0.037,158,3,56,0,8,0
1501,50.0,2000,694,72,1665,284,51,607,607.60,0.738,0.546,0.112,0.059,0.533,0.119,0.037,146,3,43,0,7,0
