tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
31,1.0,908,11574,0,189,622,97,0,15.09,0.955,0.916,0.189,0.138,0.161,0.094,0.017,65,0,23,0,0,0
61,2.0,2000,6587,0,221,1572,207,0,18.16,1.021,1.017,0.194,0.128,0.108,0.092,0.028,95,0,86,0,0,0
91,3.0,2000,3522,0,233,1570,197,1,32.67,1.011,1.012,0.198,0.127,0.110,0.093,0.026,132,0,114,0,0,0
121,4.0,2000,1787,0,249,1544,207,4,67.18,0.999,1.012,0.201,0.131,0.113,0.095,0.023,86,42,101,0,0,0
151,5.0,2000,884,354,263,1532,205,4,93.46,0.979,1.009,0.207,0.132,0.116,0.097,0.021,77,108,125,0,0,0
181,6.0,2000,636,354,295,1502,203,5,120.40,0.960,0.998,0.200,0.132,0.124,0.097,0.020,84,82,125,0,1,0
211,7.0,2000,588,354,320,1484,196,7,128.26,0.948,0.992,0.197,0.129,0.131,0.096,0.019,77,89,122,0,1,0
241,8.0,2000,571,354,336,1472,192,11,142.57,0.940,0.990,0.192,0.126,0.136,0.096,0.018,87,78,138,0,1,0
271,9.0,2000,570,354,363,1459,178,11,170.19,0.932,0.985,0.190,0.119,0.145,0.097,0.017,77,79,140,0,0,0
301,10.0,2000,607,261,387,1448,165,13,164.87,0.930,0.982,0.187,0.113,0.153,0.097,0.017,83,67,127,0,1,0
331,11.0,2000,693,261,432,1413,155,14,181.37,0.919,0.966,0.179,0.106,0.166,0.097,0.017,74,68,114,0,1,0
361,12.0,2000,692,261,471,1380,149,16,184.79,0.913,0.956,0.177,0.103,0.180,0.096,0.019,81,75,134,0,1,0
391,13.0,2000,770,261,502,1350,148,21,213.16,0.906,0.948,0.173,0.102,0.188,0.096,0.020,77,52,126,0,0,0
421,14.0,2000,872,261,535,1315,150,25,214.15,0.903,0.936,0.172,0.102,0.199,0.096,0.020,64,32,89,0,1,0
451,15.0,2000,968,209,552,1291,157,27,218.49,0.900,0.933,0.168,0.104,0.204,0.097,0.019,89,41,116,0,0,0
481,16.0,2000,975,209,572,1284,144,32,245.87,0.896,0.926,0.166,0.100,0.212,0.097,0.019,76,37,118,0,0,0
511,17.0,2000,1109,209,583,1282,135,38,258.89,0.895,0.923,0.165,0.096,0.216,0.096,0.020,81,25,108,0,1,0
541,18.0,2000,1053,209,585,1287,128,44,248.51,0.900,0.926,0.168,0.091,0.218,0.096,0.021,82,28,125,0,3,0
571,19.0,2000,1131,209,611,1267,122,46,266.11,0.895,0.918,0.168,0.088,0.226,0.096,0.021,76,21,111,0,0,0
601,20.0,2000,1137,181,615,1263,122,53,271.01,0.897,0.916,0.170,0.088,0.228,0.096,0.022,81,8,92,0,1,0
631,21.0,2000,1257,181,625,1254,121,60,287.62,0.896,0.914,0.170,0.087,0.231,0.096,0.022,66,11,72,0,0,0
661,22.0,2000,1328,181,637,1244,119,69,279.14,0.893,0.911,0.171,0.086,0.235,0.096,0.022,61,10,104,0,1,0
691,23.0,2000,1324,181,627,1255,118,74,332.81,0.900,0.916,0.173,0.085,0.232,0.096,0.022,70,10,119,0,0,0
721,24.0,2000,1313,181,615,1270,115,83,332.02,0.907,0.924,0.177,0.084,0.228,0.095,0.024,46,7,96,0,0,0
751,25.0,2000,1396,155,616,1278,106,86,334.10,0.913,0.923,0.178,0.081,0.229,0.094,0.024,58,4,99,0,0,0
781,26.0,2000,1428,155,622,1276,102,95,388.05,0.912,0.919,0.179,0.079,0.231,0.094,0.023,71,4,91,0,0,0
811,27.0,2000,1459,155,623,1269,108,99,400.39,0.910,0.917,0.180,0.080,0.232,0.094,0.023,75,7,109,0,2,0
841,28.0,2000,1465,155,627,1268,105,93,385.27,0.909,0.912,0.180,0.078,0.233,0.093,0.022,49,6,101,0,4,0
871,29.0,2000,1515,155,622,1273,105,94,392.64,0.910,0.915,0.180,0.078,0.233,0.093,0.023,60,6,88,0,1,0
901,30.0,2000,1463,141,632,1259,109,88,411.23,0.909,0.913,0.181,0.080,0.236,0.092,0.024,57,6,80,0,3,0
931,31.0,2000,1412,141,634,1256,110,96,394.98,0.909,0.912,0.185,0.079,0.237,0.092,0.025,60,2,91,0,2,0
961,32.0,2000,1432,141,643,1248,109,102,393.10,0.906,0.907,0.187,0.077,0.240,0.092,0.025,60,3,70,0,3,0
991,33.0,2000,1421,141,645,1238,117,100,406.61,0.906,0.905,0.185,0.080,0.241,0.091,0.027,54,1,96,0,0,0
1021,34.0,2000,1379,141,642,1241,117,111,422.12,0.907,0.902,0.186,0.080,0.242,0.092,0.027,57,4,84,0,3,0
1051,35.0,2000,1418,126,641,1239,120,119,431.39,0.910,0.900,0.187,0.080,0.241,0.091,0.026,54,4,76,0,2,0
1081,36.0,2000,1371,126,642,1235,123,132,421.86,0.908,0.899,0.188,0.081,0.242,0.091,0.026,48,5,74,0,1,0
1111,37.0,2000,1375,126,652,1223,125,147,436.77,0.904,0.898,0.189,0.082,0.245,0.091,0.027,57,4,53,0,2,0
1141,38.0,2000,1312,126,642,1235,123,153,463.11,0.907,0.904,0.193,0.081,0.242,0.091,0.028,45,8,80,0,5,0
1171,39.0,2000,1209,126,643,1226,131,165,475.37,0.910,0.907,0.192,0.083,0.242,0.090,0.028,45,7,81,0,3,0
1201,40.0,2000,1139,116,655,1211,134,173,466.95,0.907,0.901,0.191,0.083,0.246,0.089,0.028,57,2,73,0,4,0
1231,41.0,2000,1158,116,667,1197,136,188,469.73,0.903,0.897,0.192,0.083,0.250,0.089,0.028,64,2,61,0,2,0
1261,42.0,2000,1101,116,672,1188,140,189,480.57,0.904,0.892,0.192,0.085,0.252,0.089,0.026,54,7,71,0,5,0
1291,43.0,2000,1067,116,679,1189,132,200,483.68,0.903,0.887,0.189,0.083,0.254,0.089,0.026,54,8,72,0,3,0
1321,44.0,2000,1024,116,692,1169,139,204,544.46,0.902,0.882,0.189,0.084,0.259,0.088,0.026,48,7,79,0,4,0
1351,45.0,2000,990,110,684,1178,138,217,575.87,0.905,0.886,0.189,0.084,0.256,0.088,0.027,55,5,78,0,2,0
1381,46.0,2000,922,110,693,1177,130,222,564.48,0.898,0.881,0.190,0.083,0.259,0.089,0.025,60,7,76,0,2,0
1411,47.0,2000,822,110,695,1177,128,239,517.03,0.898,0.879,0.190,0.083,0.260,0.089,0.025,43,10,56,0,5,0
1441,48.0,2000,719,110,713,1167,120,252,548.59,0.892,0.872,0.189,0.080,0.265,0.089,0.024,50,9,79,0,3,0
1471,49.0,2000,678,110,724,1158,118,262,559.37,0.887,0.869,0.190,0.080,0.269,0.089,0.024,48,11,94,0,7,0
1501,50.0,2000,631,101,738,1144,118,274,556.71,0.883,0.865,0.191,0.078,0.273,0.089,0.026,56,9,82,0,10,0
1531,51.0,2000,544,101,736,1142,122,273,623.16,0.883,0.867,0.188,0.079,0.272,0.089,0.025,68,7,83,0,4,0
1561,52.0,2000,533,101,739,1144,117,273,626.23,0.881,0.867,0.190,0.077,0.273,0.090,0.024,61,11,106,0,9,0
1591,53.0,2000,471,101,746,1143,111,268,526.08,0.877,0.863,0.193,0.076,0.276,0.091,0.023,71,19,104,0,11,0
1621,54.0,2000,474,101,762,1130,108,274,539.33,0.871,0.857,0.197,0.074,0.280,0.092,0.022,51,21,97,0,7,0
1651,55.0,2000,423,91,781,1111,108,284,509.44,0.866,0.853,0.203,0.073,0.285,0.091,0.021,59,24,109,0,7,0
1681,56.0,2000,404,91,809,1081,110,281,477.19,0.854,0.841,0.206,0.073,0.292,0.090,0.018,46,23,125,0,8,0
1711,57.0,2000,357,91,831,1062,107,277,585.41,0.845,0.834,0.210,0.071,0.299,0.090,0.016,57,26,117,0,9,0
1741,58.0,2000,361,91,848,1045,107,274,508.42,0.839,0.828,0.207,0.071,0.305,0.089,0.014,50,34,92,0,8,0
1771,59.0,2000,328,91,890,1006,104,279,515.80,0.823,0.813,0.207,0.069,0.317,0.091,0.013,61,28,104,0,7,0
1801,60.0,2000,339,75,938,957,105,267,545.13,0.808,0.795,0.206,0.067,0.332,0.091,0.013,69,37,102,0,13,0
1831,61.0,2000,380,75,985,920,95,261,551.85,0.787,0.778,0.204,0.064,0.346,0.091,0.011,70,39,106,0,15,0
1861,62.0,2000,407,75,1036,874,90,246,566.92,0.770,0.760,0.200,0.063,0.361,0.092,0.011,76,43,122,0,12,0
