tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
31,1.0,459,9960,0,160,119,72,108,0,16.44,0.865,0.814,0.179,0.167,0.240,-0.110,1.551,0.3162,1.3422,0.821,0.450,0.181,0.100,0.008,42,0,16,0,0,0,25630.97,1476.435,6628.952,23.044,94.269,11.834,2285.917,653.549,0.000,2693.483,2154.786,796.312,1495.674,213.106,0.000083,-0.000424
61,2.0,517,8906,0,175,151,73,118,0,20.42,0.866,0.823,0.174,0.155,0.235,-0.169,1.528,0.3185,1.3692,0.841,0.451,0.196,0.101,0.009,75,0,3,0,0,0,27804.17,1577.390,6213.787,7.748,66.633,18.767,2461.743,659.644,0.000,2284.435,1827.548,186.435,1763.596,97.428,0.000097,-0.000009
91,3.0,573,7979,0,186,192,71,124,1,42.09,0.863,0.836,0.169,0.149,0.228,-0.234,1.519,0.3380,1.4133,0.834,0.425,0.163,0.101,0.006,77,0,14,0,0,0,28933.13,1691.789,6191.110,14.953,112.063,22.966,2747.768,733.749,0.139,2481.017,1984.813,917.238,1686.297,187.496,0.000118,-0.000591
121,4.0,631,7008,0,198,237,66,130,2,56.34,0.855,0.847,0.164,0.136,0.223,-0.287,1.515,0.3365,1.4745,0.828,0.414,0.155,0.101,0.004,74,1,16,0,0,0,30865.96,1789.290,7001.653,19.754,122.305,21.115,2985.690,782.617,2.242,2731.329,2185.063,589.212,1893.642,78.202,0.000082,-0.000331
151,5.0,716,6051,83,207,314,65,130,4,64.00,0.841,0.865,0.157,0.127,0.208,-0.343,1.512,0.3451,1.5812,0.840,0.391,0.132,0.104,-0.005,84,5,3,0,0,0,33907.42,1905.509,8449.074,4.768,208.014,20.133,3272.270,898.695,5.978,3284.353,2627.483,105.684,2294.540,83.844,0.000151,-0.001236
181,6.0,857,4879,83,233,443,60,121,5,94.01,0.819,0.880,0.137,0.111,0.199,-0.433,1.509,0.3573,1.7113,0.799,0.352,0.114,0.108,-0.014,100,18,12,0,0,0,38358.62,2085.859,11055.702,8.436,136.728,21.920,3819.572,1113.337,10.146,6066.889,4853.511,443.787,1942.296,156.284,0.000144,-0.001637
211,7.0,985,3969,83,254,561,55,115,5,111.72,0.801,0.903,0.122,0.097,0.192,-0.503,1.494,0.3745,1.8219,0.791,0.343,0.105,0.106,-0.021,127,28,18,0,0,0,43312.90,2304.410,11611.576,14.328,76.402,27.126,4267.701,1445.688,10.146,6108.147,4886.518,512.607,1404.533,113.725,0.000103,-0.000891
241,8.0,1167,3070,83,275,736,43,113,7,116.43,0.779,0.940,0.114,0.090,0.180,-0.570,1.498,0.3800,1.9397,0.766,0.320,0.089,0.106,-0.031,110,23,29,0,0,0,49433.18,2443.349,14467.996,19.714,140.380,27.045,4778.802,1734.812,10.362,8072.486,6457.989,988.373,1462.294,221.645,0.000160,-0.000215
271,9.0,1420,2168,83,293,984,37,106,6,141.45,0.765,0.982,0.104,0.085,0.165,-0.633,1.503,0.3796,2.0720,0.749,0.307,0.082,0.106,-0.045,134,32,39,0,2,0,58715.48,2747.757,19581.889,39.162,78.466,20.698,5648.983,2157.269,11.779,11329.570,9063.656,1232.478,1522.627,247.459,0.000142,0.000474
301,10.0,1633,1606,73,318,1191,30,94,6,145.73,0.752,1.010,0.095,0.079,0.160,-0.680,1.502,0.3762,2.1987,0.743,0.292,0.065,0.104,-0.054,127,40,56,0,1,0,66082.69,3009.764,19023.974,56.624,19.929,19.460,6596.091,2617.361,11.550,10663.031,8530.425,1826.534,1274.319,264.696,0.000197,0.002760
331,11.0,1917,1103,73,342,1461,25,89,8,140.80,0.740,1.041,0.088,0.076,0.153,-0.713,1.501,0.3838,2.2966,0.730,0.287,0.056,0.102,-0.060,127,30,60,0,0,0,75057.55,3344.074,21897.260,31.054,5.294,14.941,7510.324,3218.226,13.477,12776.675,10221.341,1670.154,1142.703,187.299,0.000107,0.003394
361,12.0,2136,888,73,368,1668,16,84,10,144.79,0.731,1.058,0.083,0.075,0.151,-0.739,1.499,0.3804,2.3574,0.711,0.277,0.046,0.100,-0.063,113,42,65,0,1,0,80220.81,3725.527,19474.231,34.778,211.627,16.914,8528.397,3807.215,14.167,11261.359,9009.087,1957.125,1245.596,266.509,0.000183,0.005016
391,13.0,2342,764,73,416,1838,13,75,17,155.86,0.727,1.069,0.079,0.068,0.156,-0.761,1.505,0.3817,2.4348,0.721,0.240,0.043,0.098,-0.066,115,53,60,0,1,0,86027.78,4250.240,20225.402,30.830,25.682,14.747,9318.619,4274.962,22.103,11003.436,8802.749,1521.485,1190.272,171.380,0.000132,0.005635
421,14.0,2560,770,73,468,2012,11,69,23,166.51,0.722,1.080,0.076,0.067,0.161,-0.776,1.506,0.3955,2.5079,0.670,0.226,0.044,0.098,-0.067,114,62,52,0,0,0,91322.24,4777.482,20713.515,29.530,154.320,11.918,10187.527,4835.616,35.312,11388.052,9110.442,1368.461,1236.198,285.342,0.000172,0.006556
451,15.0,2791,694,69,535,2186,10,60,29,165.97,0.718,1.082,0.076,0.066,0.167,-0.791,1.494,0.3924,2.5515,0.678,0.198,0.042,0.096,-0.068,101,77,63,0,0,0,98293.40,5513.998,24009.794,28.926,55.304,12.803,10988.222,5379.395,43.602,12681.630,10145.304,1735.219,1557.786,341.012,0.000200,0.008795
481,16.0,3061,639,69,615,2385,8,53,42,163.65,0.715,1.084,0.075,0.066,0.174,-0.806,1.493,0.3977,2.5844,0.631,0.187,0.040,0.093,-0.067,105,80,84,0,3,0,106121.38,6501.978,26969.885,35.629,302.359,11.530,12135.490,5918.811,60.564,14990.581,11992.465,2502.461,1591.160,472.907,0.000248,0.010917
511,17.0,3291,623,69,702,2541,7,41,62,178.39,0.706,1.078,0.075,0.063,0.182,-0.815,1.491,0.4036,2.6260,0.630,0.170,0.039,0.091,-0.067,89,120,90,0,4,0,114849.10,7475.459,28342.807,33.151,227.981,10.950,12983.092,6360.197,90.870,15132.705,12106.164,2498.106,1723.803,441.092,0.000205,0.013270
541,18.0,3572,622,69,795,2737,5,35,100,191.39,0.704,1.080,0.074,0.061,0.188,-0.828,1.491,0.4012,2.6733,0.610,0.161,0.038,0.089,-0.069,104,94,100,0,6,0,124813.35,8773.289,31014.112,35.711,313.515,10.225,13862.534,6993.046,143.771,16511.831,13209.465,2881.919,1939.193,736.035,0.000235,0.017118
571,19.0,3902,507,69,909,2960,3,30,148,198.79,0.702,1.083,0.075,0.059,0.196,-0.840,1.497,0.3976,2.7087,0.585,0.153,0.036,0.088,-0.069,97,106,96,0,4,0,136128.64,10027.865,32983.193,46.306,408.606,10.418,15205.180,7773.448,214.705,18433.272,14746.618,2684.717,1725.822,451.551,0.000208,0.019388
601,20.0,4201,548,61,1067,3106,3,25,192,186.93,0.700,1.068,0.076,0.058,0.209,-0.849,1.495,0.4092,2.7186,0.549,0.133,0.033,0.087,-0.069,112,111,164,0,11,0,144920.23,11491.052,34006.191,54.917,533.783,10.415,16491.959,8350.577,289.209,20026.479,16021.183,4971.547,1937.452,714.541,0.000291,0.022539
631,21.0,4488,529,61,1251,3213,3,21,296,201.05,0.694,1.049,0.078,0.057,0.226,-0.857,1.487,0.4170,2.7456,0.569,0.116,0.034,0.086,-0.067,97,125,204,0,20,0,155174.16,13242.948,36646.471,41.994,673.861,12.159,17559.471,8594.945,401.097,21654.371,17323.497,6184.272,1823.524,783.295,0.000168,0.023153
