tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
31,1.0,541,12940,0,157,200,83,101,0,6.09,0.843,0.812,0.204,0.288,0.203,-0.244,1.499,0.3461,1.3582,0.847,0.535,0.154,0.091,-0.017,44,0,11,0,0,0,29700.65,1422.079,11602.349,19.620,93.393,16.636,2458.022,620.722,0.000,5493.215,4394.572,606.910,1709.782,106.678,0.000127,-0.001693
61,2.0,847,10944,0,165,488,80,114,0,14.65,0.841,0.882,0.163,0.534,0.148,-0.475,1.501,0.3417,1.6596,0.851,0.545,0.113,0.080,-0.042,70,0,83,0,0,0,41735.51,1446.600,24614.515,31.408,121.609,19.146,3670.433,1065.831,0.000,13621.038,10896.830,3028.168,3013.059,555.964,0.000164,-0.003279
91,3.0,1316,8265,0,168,939,79,130,3,20.92,0.830,0.948,0.155,0.691,0.110,-0.594,1.497,0.3459,1.8747,0.863,0.488,0.085,0.070,-0.063,79,0,194,0,0,0,57433.48,1488.282,38814.437,35.993,513.670,20.997,5897.662,1844.304,0.331,23110.126,18488.101,7186.337,4126.204,963.882,0.000181,-0.005953
121,4.0,2064,4624,0,171,1650,78,165,7,28.00,0.829,1.012,0.156,0.813,0.086,-0.654,1.494,0.3552,2.1470,0.847,0.427,0.062,0.066,-0.072,109,7,321,0,0,0,82221.66,1523.112,60093.235,54.716,782.388,21.407,9876.203,3382.488,7.651,37617.392,30093.914,11154.816,3473.591,1464.656,0.000201,-0.008021
151,5.0,2351,2117,39,175,1966,62,148,21,46.65,0.846,1.031,0.142,0.823,0.085,-0.683,1.492,0.3507,2.1719,0.842,0.406,0.059,0.068,-0.068,137,29,496,0,0,0,88884.46,1566.490,48439.532,131.058,593.469,27.532,13703.924,4701.139,21.297,28769.057,23015.246,15638.319,1794.783,1860.998,0.000249,-0.009920
181,6.0,2288,1079,39,178,1931,52,127,22,70.07,0.862,1.033,0.132,0.792,0.091,-0.693,1.496,0.3342,2.1781,0.852,0.376,0.049,0.071,-0.062,96,60,486,0,2,0,79935.44,1642.372,29629.494,102.810,503.866,24.703,14563.334,4959.169,43.579,17279.743,13823.794,14612.657,835.187,1853.830,0.000147,-0.009772
211,7.0,2019,856,39,182,1692,43,102,15,93.34,0.867,1.031,0.122,0.775,0.099,-0.698,1.498,0.3284,2.2072,0.842,0.368,0.042,0.072,-0.058,90,123,391,0,5,0,67209.50,1718.203,17831.057,67.965,657.837,17.156,13565.832,4729.683,32.485,8881.233,7104.986,10340.054,572.582,1326.280,0.000210,-0.008497
241,8.0,1804,774,39,186,1503,33,82,15,108.14,0.863,1.029,0.113,0.763,0.107,-0.704,1.500,0.3278,2.2575,0.846,0.349,0.044,0.072,-0.056,84,132,273,0,5,0,60358.13,1808.562,17445.330,45.984,644.517,14.455,11982.413,4345.565,24.677,6905.290,5524.232,6971.288,464.153,982.087,0.000175,-0.007565
271,9.0,1619,771,39,197,1333,19,70,14,113.54,0.862,1.018,0.110,0.742,0.118,-0.718,1.501,0.3296,2.2543,0.830,0.340,0.044,0.074,-0.056,78,135,253,0,5,0,56328.51,1936.006,19112.194,69.100,634.229,10.850,10738.649,4003.471,23.158,7442.510,5954.008,7593.135,340.853,959.159,0.000221,-0.007605
301,10.0,1534,808,38,202,1267,11,54,14,132.87,0.867,1.011,0.105,0.739,0.124,-0.732,1.500,0.3370,2.2594,0.839,0.327,0.039,0.075,-0.054,80,95,188,0,2,0,55785.38,2113.293,18838.136,46.332,550.646,12.889,9686.250,3591.591,21.602,7466.923,5973.538,5452.950,485.852,809.257,0.000178,-0.008459
331,11.0,1522,925,38,211,1261,8,42,16,136.44,0.873,1.005,0.100,0.716,0.129,-0.743,1.504,0.3316,2.2788,0.813,0.332,0.043,0.079,-0.053,91,87,163,0,2,0,57335.48,2259.459,20040.220,30.716,488.954,11.775,9397.307,3504.832,20.643,9115.524,7292.419,4898.672,440.523,695.214,0.000108,-0.007889
361,12.0,1568,1002,38,219,1309,7,33,16,136.92,0.886,1.006,0.096,0.705,0.130,-0.753,1.499,0.3322,2.3104,0.814,0.320,0.053,0.081,-0.053,88,71,185,0,1,0,61219.17,2425.609,24239.320,31.529,921.697,10.460,9526.413,3595.184,28.099,11432.506,9146.005,5630.211,895.799,850.564,0.000163,-0.006801
391,13.0,1651,1054,38,229,1392,3,27,21,139.91,0.905,1.006,0.092,0.678,0.130,-0.760,1.493,0.3345,2.3180,0.798,0.293,0.049,0.084,-0.052,96,48,205,0,1,0,64865.73,2608.362,26349.826,43.640,744.880,11.230,10112.678,3938.134,32.856,13151.879,10521.504,6761.516,850.893,1028.812,0.000166,-0.007284
421,14.0,1760,1068,38,241,1493,3,23,22,134.88,0.918,1.006,0.088,0.654,0.131,-0.766,1.496,0.3351,2.3321,0.777,0.324,0.045,0.087,-0.049,83,39,207,0,3,0,69889.59,2748.001,28734.375,43.316,407.221,13.510,10821.529,4282.208,40.782,13723.768,10979.014,6896.655,865.781,850.116,0.000190,-0.006128
451,15.0,1897,1004,34,255,1619,2,21,27,136.95,0.935,1.008,0.087,0.645,0.132,-0.770,1.495,0.3290,2.3381,0.775,0.314,0.046,0.090,-0.051,115,53,214,0,1,0,77266.10,3037.796,32763.698,46.482,867.022,10.237,11716.437,4656.864,45.553,15927.272,12741.818,6963.064,837.964,1066.137,0.000112,-0.006286
481,16.0,2031,1052,34,280,1729,2,20,38,114.13,0.941,1.011,0.086,0.628,0.135,-0.771,1.493,0.3284,2.3407,0.750,0.264,0.043,0.092,-0.050,101,54,254,0,2,0,82175.96,3381.832,33720.490,23.133,1036.137,13.190,12856.447,5126.824,63.660,16977.055,13581.644,8356.835,1152.845,1263.572,0.000139,-0.005305
511,17.0,2203,987,34,303,1882,2,16,35,123.48,0.959,1.007,0.087,0.598,0.135,-0.777,1.493,0.3345,2.3251,0.747,0.271,0.038,0.096,-0.050,113,48,277,0,4,0,88717.91,3780.763,38202.617,49.575,617.879,12.130,13803.789,5631.243,64.381,20062.351,16049.881,9707.416,1101.317,1170.396,0.000213,-0.006330
541,18.0,2367,915,34,329,2023,2,13,42,122.03,0.973,1.003,0.088,0.567,0.136,-0.780,1.490,0.3361,2.3242,0.730,0.264,0.030,0.098,-0.049,112,64,278,0,1,0,95784.63,4154.683,40843.084,42.869,606.225,10.555,15010.182,6139.984,70.528,20717.895,16574.317,9802.316,1563.547,1243.775,0.000190,-0.006339
571,19.0,2537,884,34,370,2154,2,11,53,120.90,0.988,0.990,0.089,0.540,0.140,-0.785,1.490,0.3339,2.2833,0.699,0.257,0.030,0.102,-0.045,118,66,315,0,2,0,103376.70,4705.631,44245.157,33.222,702.197,12.097,16219.405,6651.987,87.786,22547.469,18037.975,10860.403,1603.765,1459.109,0.000149,-0.006310
601,20.0,2749,813,34,412,2324,2,11,71,116.86,1.005,0.983,0.087,0.495,0.144,-0.791,1.487,0.3350,2.2719,0.685,0.243,0.028,0.107,-0.040,110,55,304,0,3,0,111643.48,5267.891,46140.049,69.402,1219.466,13.054,17698.659,7300.617,107.408,23549.229,18839.384,10325.189,1546.243,1522.587,0.000200,-0.007896
631,21.0,2961,753,34,473,2478,2,8,82,129.62,1.019,0.975,0.088,0.457,0.150,-0.796,1.481,0.3373,2.2492,0.645,0.228,0.026,0.112,-0.038,126,80,325,0,4,0,119514.87,6033.366,47485.547,31.079,989.247,11.331,19056.813,7904.353,133.837,25417.872,20334.298,10708.367,1378.445,1413.225,0.000130,-0.007251
661,22.0,3117,780,34,529,2582,2,4,98,131.04,1.029,0.963,0.086,0.431,0.157,-0.798,1.475,0.3422,2.2095,0.641,0.202,0.028,0.113,-0.037,118,61,324,0,9,0,127463.11,6888.276,48675.617,23.824,1168.294,14.315,20451.500,8484.301,154.856,22705.796,18164.637,10853.890,1699.892,1453.873,0.000255,-0.007744
691,23.0,3353,688,34,612,2735,2,4,126,120.76,1.033,0.952,0.091,0.403,0.165,-0.801,1.475,0.3490,2.1870,0.628,0.186,0.026,0.115,-0.037,129,91,328,0,6,0,137060.00,7960.575,53724.675,29.382,1674.947,15.984,21754.212,8929.646,192.121,27472.360,21977.888,12063.617,1968.684,1714.992,0.000272,-0.008217
721,24.0,3531,602,34,704,2821,2,4,146,138.32,1.039,0.938,0.093,0.362,0.176,-0.804,1.475,0.3493,2.1608,0.605,0.169,0.029,0.119,-0.035,121,104,389,0,12,0,144818.28,9147.764,54006.349,46.653,1669.533,17.446,23183.906,9402.943,229.065,28339.593,22671.675,13374.922,1687.923,1895.805,0.000197,-0.007500
751,25.0,3707,613,34,815,2886,2,4,187,168.75,1.042,0.919,0.094,0.320,0.190,-0.808,1.470,0.3529,2.1092,0.596,0.148,0.029,0.123,-0.032,130,84,415,0,13,0,152493.09,10538.480,55997.052,40.530,1533.418,17.393,24248.254,9726.169,269.695,28711.937,22969.550,15072.022,1896.845,1945.884,0.000211,-0.007149
781,26.0,3908,574,34,988,2913,2,5,240,138.85,1.030,0.890,0.094,0.296,0.211,-0.812,1.468,0.3591,2.0734,0.555,0.131,0.026,0.125,-0.030,148,113,432,0,14,0,159471.42,12004.396,56540.686,42.001,2263.847,19.339,25313.608,9879.175,350.087,31104.647,24883.718,15786.702,1916.167,2142.078,0.000188,-0.006999
811,27.0,4130,593,34,1152,2971,2,5,319,126.57,1.022,0.868,0.095,0.273,0.228,-0.815,1.467,0.3679,2.0414,0.550,0.108,0.026,0.126,-0.027,144,89,423,0,19,0,168228.97,14200.043,57499.822,29.349,2627.524,19.648,26096.141,10003.480,439.089,31195.519,24956.416,16220.164,1647.399,2326.296,0.000280,-0.005328
841,28.0,4380,549,34,1368,3006,2,4,393,154.57,1.012,0.843,0.094,0.238,0.250,-0.820,1.470,0.3698,2.0075,0.537,0.103,0.027,0.129,-0.025,134,90,465,0,17,0,180267.05,16645.941,61518.737,46.451,2379.919,18.508,27177.198,10454.800,570.912,33923.360,27138.688,17005.750,1751.352,2428.366,0.000306,-0.004979
871,29.0,4705,499,34,1623,3077,2,3,550,147.25,0.996,0.819,0.093,0.213,0.271,-0.825,1.458,0.3710,1.9878,0.515,0.084,0.026,0.129,-0.021,163,86,439,0,23,0,191966.78,19273.073,60492.149,20.767,3634.890,21.045,28604.251,10815.482,746.222,35460.131,28368.106,16280.356,1911.114,2636.804,0.000252,-0.004503
901,30.0,5045,452,34,1906,3132,2,5,781,151.10,0.981,0.796,0.094,0.185,0.292,-0.831,1.449,0.3783,1.9405,0.509,0.079,0.023,0.130,-0.018,170,59,502,0,31,0,202852.25,22268.466,62008.961,34.856,3583.448,19.163,30062.483,11106.867,1066.628,37996.821,30397.457,18821.007,2021.002,2749.457,0.000283,-0.005716
931,31.0,5300,427,34,2201,3094,0,5,1119,147.16,0.962,0.770,0.097,0.164,0.317,-0.836,1.447,0.3827,1.9201,0.505,0.071,0.025,0.130,-0.014,171,84,551,0,57,0,213935.48,25451.106,62865.900,28.122,4711.403,21.760,31038.378,11155.254,1543.531,38378.071,30702.458,21185.265,1563.268,3100.598,0.000232,-0.006764
