tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
31,1.0,466,10764,0,152,117,91,106,0,14.33,0.864,0.790,0.170,0.157,0.226,-0.059,1.534,0.3243,1.3167,0.797,0.441,0.175,0.097,-0.009,36,0,30,0,0,0,25877.86,1386.608,8198.282,53.724,39.007,12.206,2230.902,650.812,0.000,3608.358,2886.686,1461.445,1542.255,220.648,0.000123,-0.000548,22,0,22,8,13,9,3469,1,8,10.906
61,2.0,515,9500,0,154,154,87,120,0,23.16,0.889,0.804,0.161,0.146,0.207,-0.117,1.541,0.3282,1.4039,0.782,0.494,0.158,0.092,-0.006,58,0,20,0,0,0,27617.85,1318.978,7944.540,44.599,56.819,17.200,2462.624,674.774,0.000,2804.904,2243.924,991.630,2723.197,154.926,0.000133,-0.001462,31,0,17,3,5,3,4085,17,3,3.246
91,3.0,604,8239,0,154,229,85,136,1,29.19,0.918,0.835,0.140,0.128,0.181,-0.196,1.540,0.3250,1.5455,0.800,0.526,0.142,0.086,-0.004,84,0,13,0,0,0,31361.25,1304.390,10428.339,28.820,149.871,21.905,2828.845,826.012,0.111,4203.757,3363.006,751.654,2645.596,125.176,0.000133,-0.003095,58,0,11,2,5,5,5396,41,2,0.646
121,4.0,679,7264,0,158,280,84,157,1,34.73,0.925,0.855,0.132,0.121,0.169,-0.236,1.536,0.3204,1.6531,0.831,0.525,0.121,0.084,-0.002,66,1,20,0,0,0,33123.75,1361.707,8476.743,27.571,86.986,24.276,3329.969,1076.902,1.665,3790.902,3032.721,828.196,1895.525,213.089,0.000094,-0.003648,54,0,18,2,15,14,7257,46,2,3.781
151,5.0,777,6214,78,162,350,82,183,1,47.45,0.925,0.875,0.114,0.115,0.156,-0.273,1.535,0.3243,1.7938,0.799,0.481,0.109,0.081,-0.000,89,9,30,0,0,0,36248.43,1413.891,11223.046,21.554,87.210,23.609,3709.714,1261.800,1.665,5415.158,4332.127,1253.921,1993.651,230.024,0.000127,-0.004687,28,0,24,6,24,22,8286,8,6,6.480
181,6.0,947,4889,78,167,491,78,211,3,58.75,0.951,0.904,0.095,0.102,0.137,-0.327,1.531,0.3235,1.8767,0.833,0.461,0.092,0.074,0.005,96,17,25,0,0,0,42489.25,1483.021,16657.792,37.205,184.256,22.476,4577.605,1800.202,1.948,8752.420,7001.936,981.445,2512.409,313.103,0.000109,-0.004469,49,0,25,0,15,15,10867,16,0,0.000
211,7.0,1093,3916,78,169,633,65,226,6,83.64,0.970,0.923,0.084,0.090,0.124,-0.375,1.533,0.3267,1.9853,0.800,0.462,0.071,0.068,0.008,100,29,38,0,0,0,46851.63,1542.289,16286.587,36.608,254.109,18.228,5531.484,2604.491,9.292,8975.098,7180.079,1618.152,1601.410,343.255,0.000134,-0.005593,45,0,38,0,27,27,14358,3,0,0.000
241,8.0,1293,2858,78,177,826,53,237,8,114.43,0.996,0.948,0.076,0.077,0.113,-0.415,1.542,0.3215,2.0685,0.781,0.412,0.057,0.061,0.011,115,36,47,0,1,0,52656.52,1595.414,20151.387,38.425,419.765,21.867,6567.055,3223.051,14.315,11982.308,9585.847,1899.935,1395.233,484.286,0.000126,-0.005454,47,0,44,3,38,36,18735,1,3,8.228
271,9.0,1424,2000,78,179,987,37,221,10,129.77,1.014,0.971,0.068,0.070,0.107,-0.451,1.554,0.3240,2.1378,0.778,0.402,0.051,0.056,0.015,125,60,71,0,3,0,56129.36,1726.265,19587.094,61.230,396.384,21.137,7578.946,3684.324,17.365,11324.749,9059.799,2917.631,860.730,577.796,0.000122,-0.006006,58,0,65,6,58,52,23183,2,6,15.695
301,10.0,1495,1253,66,177,1089,25,204,15,140.10,1.034,0.993,0.064,0.061,0.103,-0.472,1.551,0.3143,2.1759,0.763,0.350,0.047,0.052,0.014,135,90,95,0,1,0,58241.20,1754.501,20894.016,48.182,756.475,18.252,8329.374,4412.262,21.102,11023.578,8818.862,3527.739,1179.954,909.723,0.000082,-0.005459,105,0,84,11,92,82,26722,7,11,22.340
331,11.0,1492,936,66,176,1122,14,180,23,144.04,1.046,1.005,0.059,0.056,0.102,-0.490,1.552,0.3091,2.1902,0.763,0.324,0.044,0.050,0.016,126,86,89,0,1,0,57269.62,1821.433,17105.533,50.210,896.138,19.883,8593.389,4723.160,36.168,7440.256,5952.205,3276.255,887.770,943.960,0.000170,-0.004340,141,0,81,8,89,81,28507,16,8,29.968
