tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach
31,1.0,467,12984,0,165,111,86,105,1,11.85,0.815,0.786,0.225,0.191,0.240,-0.045,1.556,0.3596,1.3668,0.821,0.430,0.209,0.093,0.013,55,0,20,0,0,0,25495.24,1447.823,6638.036,35.289,81.695,12.081,2284.752,584.507,0.080,2931.554,2345.243,1031.097,962.903,339.115,0.000089,0.000244,0,47,20,0,10,10,3352
61,2.0,614,11528,0,175,228,83,128,1,23.84,0.773,0.828,0.184,0.218,0.199,-0.219,1.552,0.3663,1.5524,0.856,0.457,0.155,0.087,0.004,62,0,12,0,0,0,30720.82,1575.284,10068.659,28.137,47.790,17.943,2537.824,667.688,1.198,5244.073,4195.258,638.603,1384.672,167.695,0.000080,0.000392,0,27,12,0,5,5,3601
91,3.0,942,9610,0,181,514,80,167,3,28.11,0.711,0.884,0.128,0.243,0.145,-0.384,1.556,0.3613,1.8821,0.847,0.448,0.112,0.077,-0.011,82,1,33,0,0,0,42629.26,1673.559,19877.259,35.969,7.376,23.007,3247.961,1046.876,1.401,11531.538,9225.231,1270.004,1537.133,268.667,0.000106,-0.000126,0,22,33,0,14,14,4601
121,4.0,1642,6789,0,192,1160,77,213,5,30.22,0.667,0.944,0.088,0.262,0.100,-0.502,1.564,0.3622,2.1416,0.817,0.406,0.071,0.065,-0.024,100,0,91,0,0,0,65204.00,1742.010,37933.623,116.369,151.838,26.041,4818.508,1947.014,4.517,24992.343,19993.875,3181.475,1762.788,504.492,0.000187,0.000831,0,43,91,0,38,38,6192
151,5.0,2676,3285,60,203,2166,77,230,9,40.22,0.650,1.000,0.069,0.280,0.077,-0.574,1.562,0.3705,2.4096,0.805,0.389,0.050,0.058,-0.032,164,4,187,0,0,0,98488.86,1815.485,59503.571,165.127,44.913,20.604,7838.448,3891.553,11.900,38894.308,31115.447,6343.524,1663.346,671.697,0.000190,0.002724,0,29,187,0,109,109,8522
181,6.0,3222,1478,60,211,2699,71,241,19,54.78,0.645,1.010,0.063,0.302,0.072,-0.594,1.564,0.3815,2.4982,0.812,0.384,0.037,0.058,-0.027,140,10,237,0,0,0,108365.42,1935.590,38273.426,175.011,146.980,24.956,11004.484,5700.788,22.847,25521.995,20417.597,7095.486,705.407,874.058,0.000222,0.004796,0,63,237,0,166,166,11651
211,7.0,3389,712,60,222,2870,63,234,33,75.77,0.639,1.010,0.061,0.309,0.072,-0.604,1.568,0.3765,2.5278,0.788,0.378,0.028,0.058,-0.025,121,36,234,0,1,0,106468.42,2046.317,24803.158,169.484,105.075,19.935,12127.104,6267.042,43.775,13936.404,11149.123,6520.196,423.875,746.687,0.000145,0.005027,0,36,234,0,141,141,12785
241,8.0,3368,438,60,236,2869,52,211,41,105.23,0.632,1.012,0.059,0.308,0.075,-0.615,1.569,0.3767,2.5669,0.770,0.364,0.024,0.058,-0.027,106,81,248,0,7,0,99540.04,2159.716,19503.327,144.273,185.890,13.530,12383.572,6614.268,72.696,9995.034,7996.027,6627.207,352.860,686.084,0.000181,0.004795,0,26,248,0,178,178,13566
271,9.0,3127,463,60,251,2656,41,179,57,125.78,0.629,1.003,0.058,0.307,0.081,-0.625,1.569,0.3676,2.5448,0.764,0.347,0.023,0.058,-0.026,103,128,285,0,5,0,89509.47,2360.871,15464.946,168.857,322.963,14.708,11709.433,6254.696,92.791,5654.546,4523.637,7643.844,405.722,787.852,0.000180,0.004952,0,40,285,0,193,193,13170
301,10.0,2883,577,52,269,2420,34,160,59,150.40,0.628,0.995,0.058,0.304,0.088,-0.627,1.575,0.3730,2.5590,0.756,0.335,0.026,0.059,-0.027,65,154,249,0,9,0,84466.17,2687.546,16689.211,158.195,195.439,11.828,10713.162,5676.926,109.412,5359.822,4287.857,5856.593,510.203,639.988,0.000136,0.004069,0,34,249,0,153,153,11675
331,11.0,2754,693,52,291,2302,27,134,73,170.24,0.627,0.988,0.060,0.292,0.095,-0.636,1.575,0.3788,2.5577,0.747,0.313,0.024,0.058,-0.028,74,164,187,0,5,0,83212.32,2904.685,18234.945,122.619,198.491,10.365,10043.719,5240.249,114.758,7301.551,5841.241,4562.191,620.427,474.440,0.000118,0.003565,0,20,187,0,114,114,11042
361,12.0,2667,679,52,330,2197,22,118,79,176.70,0.628,0.980,0.060,0.287,0.106,-0.639,1.578,0.3815,2.5649,0.710,0.267,0.027,0.058,-0.026,49,138,228,0,5,0,84088.55,3297.171,21422.775,173.043,218.092,8.324,9641.638,5051.947,131.384,9186.420,7349.136,5955.478,681.965,717.072,0.000235,0.001676,0,37,228,0,145,145,10904
391,13.0,2655,750,52,357,2173,17,108,79,188.51,0.630,0.978,0.061,0.282,0.112,-0.647,1.572,0.3797,2.5766,0.696,0.252,0.028,0.058,-0.028,81,99,240,0,6,0,86083.18,3648.283,22719.070,152.459,133.431,9.198,9441.802,5026.085,135.687,10791.314,8633.052,6390.734,657.868,714.736,0.000187,-0.000592,0,32,240,0,165,165,10998
421,14.0,2780,777,52,392,2275,16,97,96,192.21,0.631,0.976,0.060,0.283,0.116,-0.655,1.581,0.3799,2.5694,0.701,0.253,0.027,0.058,-0.028,68,74,174,0,8,0,92171.61,4149.830,25538.922,104.083,333.970,8.195,9672.695,5091.307,150.579,12331.986,9865.589,4556.692,825.172,941.563,0.000190,-0.000057,0,68,174,0,122,122,11047
