tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
31,1.0,472,12917,0,153,121,87,111,1,11.35,0.831,0.798,0.233,0.216,0.224,-0.062,1.544,0.3692,1.3417,0.815,0.444,0.188,0.093,0.014,60,0,26,0,0,0,25904.61,1380.121,7378.461,42.849,26.191,12.922,2299.968,591.643,0.133,3328.096,2662.477,1382.507,975.485,144.327,0.000054,0.000206,19,0,16,10,11,8,3377,12,10,11.123
61,2.0,592,11505,0,158,221,87,126,1,21.98,0.816,0.831,0.192,0.228,0.188,-0.186,1.539,0.3728,1.4364,0.829,0.462,0.171,0.087,0.012,83,0,19,0,0,0,30453.48,1388.778,9967.203,29.271,24.733,18.270,2645.862,692.684,1.995,4777.583,3822.066,877.084,1514.532,148.704,0.000101,0.000075,34,0,13,6,8,7,3540,23,6,4.976
91,3.0,845,9730,0,154,471,83,137,2,33.11,0.788,0.871,0.143,0.255,0.138,-0.335,1.541,0.3648,1.7141,0.878,0.455,0.133,0.081,0.010,85,2,26,0,0,0,40294.44,1439.576,17962.715,38.490,32.203,21.363,3313.753,1026.416,3.231,9567.601,7654.081,1119.658,2076.194,147.049,0.000166,-0.000554,12,0,20,6,6,5,3906,0,6,3.735
121,4.0,1293,7417,0,156,882,88,167,3,40.04,0.780,0.926,0.108,0.297,0.101,-0.419,1.556,0.3702,1.9902,0.802,0.410,0.087,0.075,0.016,102,3,63,0,0,0,55891.81,1445.851,29395.711,130.751,160.377,26.158,4672.948,1766.307,4.097,17689.353,14151.483,2811.676,2234.996,347.048,0.000134,-0.000940,24,0,57,6,23,19,4418,0,6,22.791
151,5.0,1939,4591,54,166,1495,89,189,5,49.60,0.774,0.962,0.085,0.345,0.081,-0.481,1.551,0.3811,2.2239,0.798,0.343,0.074,0.071,0.025,137,5,92,0,0,0,76234.02,1469.785,40765.032,138.313,382.834,25.137,7102.797,3339.094,7.189,25856.029,20684.824,3773.577,2064.236,572.825,0.000175,-0.000688,110,0,88,4,42,39,5083,66,4,16.583
181,6.0,2456,2477,54,169,1992,82,213,8,58.99,0.764,0.981,0.075,0.356,0.071,-0.506,1.542,0.3663,2.3194,0.771,0.302,0.048,0.070,0.030,155,15,133,0,0,0,87081.36,1509.612,35340.033,153.118,411.434,29.455,9757.556,5012.851,12.836,22727.517,18182.014,4508.571,1602.333,715.769,0.000146,0.000364,117,0,128,5,82,80,5923,64,5,9.653
211,7.0,2659,1289,54,169,2209,68,213,26,90.78,0.750,0.993,0.068,0.350,0.068,-0.522,1.547,0.3729,2.4012,0.804,0.284,0.043,0.068,0.030,198,55,177,0,0,0,88155.19,1526.015,26461.934,138.434,520.124,27.157,11120.346,5769.964,25.050,14666.546,11733.237,5277.602,998.669,927.618,0.000179,0.001604,137,0,172,5,122,118,6363,76,5,14.314
241,8.0,2680,607,54,165,2257,56,202,31,106.42,0.742,1.005,0.065,0.342,0.067,-0.531,1.558,0.3708,2.4624,0.817,0.297,0.040,0.068,0.030,156,97,175,0,6,0,85844.83,1605.939,21505.350,193.053,615.870,26.580,11410.289,6080.941,50.469,10292.020,8233.616,4837.472,441.287,735.840,0.000158,0.003279,134,0,167,8,75,68,6510,61,8,13.382
271,9.0,2561,517,54,157,2192,41,171,37,131.76,0.733,1.004,0.064,0.342,0.066,-0.544,1.558,0.3718,2.4745,0.797,0.268,0.041,0.067,0.029,128,124,155,0,7,0,80534.45,1634.985,15868.111,142.748,842.106,18.852,11025.353,6060.106,54.418,5807.677,4646.142,3702.400,176.681,775.738,0.000168,0.005193,111,0,144,11,57,50,6555,6,11,13.039
301,10.0,2491,525,50,161,2140,31,159,51,155.27,0.729,1.008,0.061,0.335,0.068,-0.550,1.570,0.3574,2.4967,0.796,0.211,0.035,0.067,0.026,113,122,98,0,4,0,77180.25,1676.726,15991.459,92.764,635.440,16.553,10501.157,5833.507,72.700,5367.233,4293.786,2710.738,284.031,639.558,0.000105,0.005796,112,0,96,2,53,51,6151,21,2,7.070
331,11.0,2374,622,50,167,2045,28,134,57,170.16,0.722,1.004,0.061,0.328,0.071,-0.553,1.574,0.3612,2.5120,0.797,0.204,0.042,0.067,0.025,107,124,121,0,10,0,73987.70,1788.977,15794.249,111.724,522.259,14.513,10042.627,5573.762,87.227,4732.908,3786.327,3457.038,182.565,597.705,0.000124,0.006252,85,0,118,3,61,59,5988,2,3,6.138
361,12.0,2341,713,50,174,2028,21,118,71,175.20,0.720,1.001,0.062,0.330,0.073,-0.561,1.581,0.3633,2.5099,0.776,0.207,0.043,0.067,0.024,93,116,102,0,5,0,74612.29,1936.975,18473.225,70.690,622.496,10.657,9598.214,5297.654,105.773,6580.172,5264.138,2748.026,191.197,599.397,0.000155,0.005801,91,0,100,2,62,60,6082,0,2,5.165
391,13.0,2363,760,50,179,2066,18,100,83,206.68,0.719,1.001,0.061,0.338,0.074,-0.569,1.578,0.3633,2.5144,0.758,0.201,0.045,0.068,0.026,89,85,112,0,5,0,76192.62,2055.552,20611.413,133.567,395.700,9.867,9652.118,5366.988,125.175,7769.714,6215.771,3771.532,196.102,554.337,0.000154,0.005346,67,0,108,4,59,55,6398,4,4,13.978
421,14.0,2424,791,50,180,2138,17,89,88,213.89,0.719,1.002,0.059,0.345,0.073,-0.575,1.589,0.3484,2.5235,0.737,0.200,0.042,0.068,0.027,93,85,127,0,10,0,80067.58,2091.742,23451.593,101.345,563.853,9.520,9726.152,5480.597,145.653,9807.538,7846.030,3521.436,330.406,603.977,0.000143,0.004198,70,0,116,11,70,66,6701,0,11,7.204
451,15.0,2502,762,40,179,2227,10,86,108,217.96,0.725,1.007,0.058,0.361,0.072,-0.583,1.581,0.3464,2.5374,0.749,0.229,0.043,0.068,0.029,87,79,162,0,3,0,84060.41,2166.868,25765.512,181.732,640.378,8.290,10142.309,5747.312,159.053,11280.244,9024.196,4874.647,248.755,693.161,0.000189,0.002471,83,0,151,11,99,88,6749,9,11,25.285
481,16.0,2631,755,40,176,2365,8,82,129,218.98,0.731,1.013,0.057,0.372,0.069,-0.589,1.579,0.3530,2.5495,0.737,0.227,0.040,0.068,0.032,98,61,158,0,14,0,88955.46,2291.399,28117.671,116.532,613.612,9.883,10686.504,6070.293,188.675,12824.846,10259.877,4886.187,428.266,805.648,0.000161,0.001499,107,0,146,12,124,115,6981,30,12,22.029
511,17.0,2739,759,40,181,2467,7,84,144,204.26,0.742,1.014,0.057,0.384,0.069,-0.592,1.570,0.3598,2.5439,0.742,0.215,0.037,0.069,0.035,85,53,173,0,10,0,93566.53,2411.666,29156.534,131.668,729.891,8.863,11311.054,6492.267,219.992,12321.015,9856.812,5234.994,481.848,884.444,0.000167,0.002042,98,0,167,6,122,119,7014,12,6,4.899
541,18.0,2911,829,40,192,2625,7,87,174,218.71,0.749,1.016,0.058,0.392,0.069,-0.594,1.567,0.3594,2.5502,0.721,0.203,0.036,0.069,0.035,106,60,152,0,10,0,99200.51,2534.003,30856.941,139.747,731.096,9.059,12027.378,6874.537,257.365,14092.544,11274.035,4691.431,443.372,784.119,0.000132,0.001590,101,0,142,10,112,102,7372,0,10,26.334
571,19.0,3146,740,40,209,2850,6,81,213,205.07,0.758,1.018,0.060,0.405,0.070,-0.598,1.574,0.3647,2.5594,0.681,0.153,0.034,0.069,0.036,93,59,162,0,10,0,106551.16,2742.278,35702.975,136.020,798.665,11.172,13138.000,7492.017,301.769,16856.566,13485.253,5391.064,565.501,970.949,0.000232,-0.002020,111,0,158,4,109,106,7533,12,4,8.890
601,20.0,3309,673,34,215,3010,6,78,247,205.99,0.767,1.018,0.060,0.415,0.069,-0.602,1.576,0.3736,2.5548,0.651,0.158,0.035,0.069,0.039,78,85,182,0,23,0,113686.06,2956.392,37307.978,150.629,862.181,9.024,14270.304,8134.221,358.724,16299.784,13039.828,5886.185,427.863,942.852,0.000183,-0.003354,125,0,174,8,131,125,7735,3,8,15.924
631,21.0,3431,711,34,220,3135,6,70,299,224.49,0.777,1.021,0.059,0.428,0.069,-0.606,1.575,0.3719,2.5502,0.647,0.118,0.031,0.069,0.040,86,74,244,0,18,0,115954.69,3038.730,36587.909,189.960,1160.731,7.238,15159.829,8578.361,421.979,16580.309,13264.247,8214.743,468.998,1387.994,0.000181,-0.005493,210,0,231,13,189,177,8038,43,13,45.416
661,22.0,3592,655,34,232,3293,5,62,338,211.44,0.784,1.026,0.057,0.436,0.070,-0.610,1.587,0.3675,2.5567,0.628,0.095,0.030,0.070,0.042,73,75,242,0,21,0,121947.77,3250.197,41321.661,145.671,1137.642,7.255,16025.969,9126.198,495.051,18071.073,14456.859,7705.294,441.334,1316.388,0.000225,-0.007384,167,0,227,15,201,186,8023,16,15,23.996
691,23.0,3720,667,34,247,3418,5,50,389,218.01,0.792,1.030,0.058,0.447,0.071,-0.614,1.583,0.3727,2.5693,0.659,0.109,0.030,0.070,0.042,88,84,267,0,24,0,125907.91,3622.774,41374.159,138.199,1185.450,8.361,16958.094,9675.380,541.376,18487.397,14789.918,8431.747,430.739,1440.169,0.000198,-0.009781,183,0,260,7,234,227,8330,7,7,14.301
721,24.0,3807,695,34,259,3492,5,51,451,221.82,0.802,1.034,0.059,0.461,0.072,-0.620,1.590,0.3745,2.5660,0.664,0.097,0.026,0.071,0.044,83,93,326,0,36,0,128400.61,4059.587,43149.216,207.043,1506.326,7.933,17708.283,10031.465,643.537,19835.647,15868.518,10511.541,371.613,1689.578,0.000156,-0.012025,241,0,312,14,277,263,8457,6,14,38.367
751,25.0,3912,580,30,277,3583,5,47,539,211.10,0.814,1.039,0.061,0.472,0.075,-0.624,1.599,0.3800,2.5645,0.637,0.087,0.028,0.071,0.047,82,75,349,0,39,0,133158.27,4277.759,46703.816,202.737,1373.242,8.284,18434.107,10393.485,747.482,21196.317,16957.054,10658.569,304.066,1649.686,0.000264,-0.015152,225,0,338,11,296,285,8619,5,11,28.002
781,26.0,3992,605,30,287,3653,5,47,630,207.57,0.819,1.041,0.062,0.479,0.076,-0.625,1.599,0.3812,2.5636,0.620,0.073,0.022,0.070,0.047,88,67,350,0,32,0,135510.59,4386.383,46426.678,220.044,1615.920,8.547,19269.121,10772.083,886.107,19551.379,15641.103,11671.582,289.577,1882.022,0.000182,-0.017342,314,0,333,17,297,281,8482,55,17,32.439
811,27.0,4099,583,30,302,3748,5,44,757,210.34,0.827,1.042,0.062,0.484,0.077,-0.628,1.585,0.3724,2.5674,0.628,0.060,0.023,0.070,0.049,84,84,353,0,33,0,138203.81,4612.925,47526.728,222.953,1668.738,8.576,20060.386,11115.410,1075.338,21428.267,17142.614,11007.888,227.161,1897.550,0.000192,-0.018508,327,0,336,17,301,284,8293,70,17,42.390
841,28.0,4163,576,30,315,3805,5,38,879,205.17,0.839,1.044,0.063,0.492,0.079,-0.631,1.577,0.3801,2.5485,0.608,0.051,0.022,0.071,0.051,82,86,348,0,57,0,140431.33,4816.691,48373.896,213.438,1974.146,8.064,20870.600,11617.230,1287.966,20784.200,16627.360,11042.749,248.045,1953.087,0.000202,-0.017778,382,0,326,22,296,275,8202,34,22,45.498
871,29.0,4219,551,30,318,3860,4,37,1029,241.93,0.855,1.047,0.064,0.501,0.079,-0.635,1.582,0.3664,2.5515,0.619,0.028,0.019,0.071,0.051,76,82,368,0,59,0,140968.94,4897.058,49188.420,256.317,1821.514,9.279,21570.895,11867.735,1525.815,21544.492,17235.594,12327.388,236.209,1967.240,0.000268,-0.015581,410,0,341,27,312,286,8183,107,27,54.552
901,30.0,4232,539,27,312,3887,3,30,1194,229.74,0.871,1.050,0.066,0.512,0.078,-0.639,1.612,0.3596,2.5342,0.620,0.045,0.017,0.071,0.055,84,99,360,0,84,0,142292.55,4952.311,50016.739,136.024,1655.274,9.338,22219.738,12075.976,1812.356,21311.100,17048.880,11362.554,127.160,1921.471,0.000197,-0.015032,364,0,334,26,334,311,8080,79,26,44.759
