tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
31,1.0,453,12778,0,157,102,80,114,0,17.94,0.861,0.790,0.187,0.203,0.240,-0.044,1.580,0.3354,1.2707,0.800,0.420,0.196,0.101,-0.000,49,0,17,0,0,0,25445.77,1392.468,6681.532,479.719,30.957,16.171,2345.538,624.144,0.000,2528.236,2022.589,525.061,1923.542,598.139,0.000118,-0.000389,10,0,12,5,2,2,2816,0,5,13.200,607,56,40,6,0,32,2
61,2.0,487,11476,0,168,125,78,116,0,29.00,0.874,0.789,0.191,0.187,0.238,-0.097,1.561,0.3349,1.2745,0.836,0.446,0.204,0.100,0.001,63,0,19,0,0,0,26846.39,1459.078,6264.863,382.458,27.209,20.115,2461.011,616.571,0.000,2113.758,1691.006,428.858,2005.701,770.882,0.000141,-0.000103,12,0,17,2,6,5,2773,7,2,57.411,496,21,15,5,0,8,2
91,3.0,543,10175,0,169,179,77,118,0,32.02,0.899,0.783,0.182,0.173,0.220,-0.182,1.557,0.3451,1.2881,0.829,0.444,0.190,0.103,-0.001,73,0,11,0,0,0,29545.06,1537.054,7937.907,211.555,39.832,24.626,2770.438,706.861,0.000,2791.105,2232.884,209.240,2451.229,291.859,0.000075,0.000140,37,0,9,2,4,3,3350,33,2,44.263,451,25,21,5,0,14,2
121,4.0,618,8963,0,178,243,78,119,0,43.97,0.915,0.774,0.169,0.158,0.207,-0.253,1.560,0.3626,1.3122,0.833,0.416,0.166,0.106,-0.001,89,3,12,0,0,0,32286.95,1599.539,8979.977,182.565,107.908,21.944,3197.457,888.479,0.000,3633.881,2907.105,180.015,2459.009,568.463,0.000113,0.000714,22,0,10,2,9,7,4647,2,2,78.532,503,28,21,2,0,13,6
151,5.0,711,7840,66,188,329,74,120,0,61.70,0.934,0.763,0.152,0.140,0.194,-0.329,1.571,0.3631,1.3184,0.810,0.415,0.145,0.110,-0.002,85,7,25,0,0,0,35824.01,1732.716,11274.626,205.158,48.072,17.683,3635.333,1047.152,0.000,5085.200,4068.160,200.860,2715.069,1059.984,0.000161,0.001712,24,0,19,6,20,16,5961,6,6,128.906,463,16,13,1,0,8,4
181,6.0,907,6444,66,200,515,67,125,1,72.17,0.964,0.764,0.126,0.115,0.171,-0.435,1.579,0.3530,1.3959,0.788,0.360,0.110,0.116,-0.004,84,13,41,0,0,0,43158.18,1828.466,18313.704,349.755,191.984,22.514,4444.831,1500.047,0.084,10253.288,8202.630,346.146,3316.841,1499.147,0.000119,0.002170,38,0,34,7,29,27,7626,5,7,224.180,432,40,29,5,0,5,19
211,7.0,1158,4879,66,208,752,61,137,4,85.94,0.983,0.782,0.106,0.104,0.149,-0.503,1.592,0.3658,1.5159,0.795,0.332,0.094,0.123,-0.001,108,30,59,0,0,0,52881.40,2010.311,23782.303,574.471,424.281,23.741,5827.660,2404.430,1.625,13954.051,11163.241,567.265,2685.954,2366.117,0.000133,0.000643,74,0,53,6,34,33,10871,20,6,20.063,325,24,21,10,0,4,5
241,8.0,1385,3672,66,211,978,55,141,8,97.74,0.999,0.793,0.102,0.098,0.135,-0.542,1.594,0.3641,1.6217,0.794,0.318,0.075,0.126,0.001,132,37,63,0,0,0,60078.33,2170.314,22973.279,418.998,525.674,20.319,7222.231,3149.560,9.705,13589.812,10871.850,405.167,2020.012,2841.022,0.000126,0.000392,87,0,55,8,56,49,13812,4,8,199.950,384,21,16,4,0,7,5
271,9.0,1609,2536,66,225,1195,44,145,11,111.50,1.000,0.812,0.091,0.092,0.128,-0.582,1.588,0.3717,1.7537,0.783,0.284,0.066,0.130,0.003,121,48,91,0,0,0,66846.79,2322.503,25535.026,679.443,892.489,20.064,8612.614,3953.974,13.741,14630.471,11704.377,722.134,2165.226,3374.732,0.000184,0.000859,111,0,87,4,57,56,17035,3,4,71.163,360,47,44,17,1,19,7
301,10.0,1824,1726,57,236,1406,41,141,12,115.43,1.000,0.838,0.085,0.087,0.124,-0.608,1.584,0.3700,1.8588,0.798,0.225,0.057,0.132,0.004,118,49,129,0,3,0,73036.76,2574.357,27648.479,1013.055,778.788,18.170,9814.183,4674.080,19.734,15944.816,12755.853,1125.987,1514.282,4708.698,0.000181,0.001889,95,0,123,6,91,87,19670,2,6,229.159,415,60,55,25,0,25,5
