tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
31,1.0,493,10562,0,153,143,97,100,0,14.33,0.908,0.873,0.155,0.147,0.219,-0.085,1.595,0.3190,1.4100,0.784,0.425,0.153,0.097,0.013,39,0,33,0,0,0,27685.04,1388.320,9951.707,87.173,30.630,9.951,2498.361,725.935,0.000,4948.157,3958.526,1753.428,1002.060,156.758,0.000137,-0.000706,19,0,25,8,11,5,3653,0,8,14.830
61,2.0,623,9053,0,159,240,96,128,0,19.65,0.954,0.952,0.136,0.121,0.189,-0.194,1.580,0.3201,1.5803,0.835,0.453,0.121,0.090,0.024,67,0,19,0,0,0,32665.30,1400.760,11711.492,16.366,109.446,17.050,3109.313,957.338,0.000,6184.971,4947.977,1020.704,1566.727,257.275,0.000107,-0.000499,69,0,16,3,14,13,5050,34,3,3.790
91,3.0,837,7314,0,157,401,97,182,1,27.16,1.004,1.044,0.119,0.105,0.153,-0.287,1.574,0.3128,1.7321,0.822,0.439,0.090,0.084,0.035,69,0,44,0,0,0,40363.12,1465.709,17651.217,50.933,112.121,20.276,4278.222,1497.217,0.146,10818.821,8655.057,1941.384,1248.956,340.356,0.000156,-0.000902,59,0,37,7,26,24,7582,0,7,7.512
121,4.0,1130,5155,0,160,636,89,245,1,40.53,1.031,1.147,0.101,0.086,0.129,-0.375,1.574,0.3276,1.9367,0.826,0.394,0.070,0.083,0.047,85,6,63,0,0,0,51851.85,1463.562,25946.841,57.797,266.465,19.629,5963.098,2257.049,2.194,15151.141,12120.913,2545.156,1657.594,524.144,0.000177,-0.000671,67,0,60,3,46,45,10797,10,3,1.512
151,5.0,1603,2511,75,166,1079,84,274,2,53.51,1.062,1.227,0.090,0.076,0.107,-0.458,1.574,0.3330,2.1067,0.800,0.349,0.047,0.081,0.060,108,17,76,0,0,0,69792.84,1537.837,38682.955,71.515,465.122,24.036,8729.260,3588.367,2.338,23868.452,19094.762,3103.661,1497.221,656.775,0.000128,-0.000099,92,0,75,1,54,54,15033,0,1,0.153
181,6.0,1878,847,75,172,1328,79,299,4,71.60,1.073,1.250,0.081,0.063,0.101,-0.487,1.565,0.3386,2.1983,0.819,0.267,0.047,0.081,0.064,117,35,113,0,0,0,75639.19,1559.391,30960.708,132.903,927.358,23.101,11932.567,5187.485,4.571,17887.959,14310.367,4037.531,1263.107,803.807,0.000187,0.000933,153,0,107,6,59,57,19136,1,6,4.706
211,7.0,1839,445,75,167,1334,68,270,6,99.39,1.075,1.255,0.078,0.058,0.100,-0.509,1.579,0.3337,2.2203,0.835,0.246,0.042,0.080,0.066,100,68,111,0,0,0,66688.67,1633.548,14090.972,113.034,1002.940,21.539,12519.523,5468.717,5.695,6031.433,4825.147,4196.620,450.776,940.456,0.000146,-0.000158,183,0,104,7,72,68,18820,23,7,3.811
241,8.0,1719,361,75,163,1259,54,243,12,120.62,1.067,1.254,0.076,0.054,0.102,-0.520,1.582,0.3362,2.2522,0.833,0.196,0.043,0.081,0.067,83,114,91,0,0,0,58109.65,1646.080,11628.785,88.119,801.207,18.906,11964.022,5299.047,14.040,3551.844,2841.475,2969.764,224.905,759.861,0.000094,0.000505,183,0,85,6,57,54,18594,37,6,11.374
271,9.0,1568,376,75,156,1154,43,215,15,144.12,1.064,1.248,0.075,0.050,0.105,-0.527,1.586,0.3388,2.2637,0.843,0.186,0.042,0.080,0.067,54,156,65,0,3,0,52130.73,1643.814,11447.420,54.403,729.570,12.852,10946.679,4846.934,22.457,3122.821,2498.257,1880.335,143.192,660.397,0.000146,0.000513,128,0,55,10,41,36,18080,4,10,7.569
301,10.0,1418,412,60,153,1050,34,181,15,163.52,1.060,1.240,0.076,0.047,0.109,-0.538,1.589,0.3501,2.2805,0.813,0.183,0.048,0.080,0.068,55,163,57,0,3,0,48757.23,1588.642,12413.009,58.932,661.361,7.544,9930.957,4292.373,23.004,3061.573,2449.258,1763.157,290.090,522.181,0.000133,-0.001630,115,0,50,7,31,25,16679,4,7,8.369
331,11.0,1313,508,60,155,977,24,157,16,193.52,1.055,1.239,0.074,0.043,0.115,-0.554,1.601,0.3414,2.3116,0.822,0.213,0.053,0.079,0.069,53,140,38,0,3,0,47093.14,1656.593,12383.279,45.801,402.253,8.988,8996.019,3901.084,24.795,3199.953,2559.963,1447.379,372.591,367.908,0.000151,-0.003111,122,0,35,3,23,21,15408,51,3,2.705
361,12.0,1288,570,60,153,989,19,127,15,213.08,1.056,1.248,0.078,0.044,0.115,-0.582,1.609,0.3517,2.3447,0.797,0.196,0.050,0.080,0.071,50,98,40,0,3,0,48757.14,1721.030,15449.571,33.765,607.664,10.465,8612.700,3748.629,27.671,4867.067,3893.654,1305.937,463.396,408.615,0.000114,-0.004872,113,0,33,7,32,27,14492,48,7,12.993
