tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
31,1.0,480,12930,0,154,137,85,104,0,11.11,0.813,0.801,0.223,0.198,0.220,-0.094,1.551,0.3575,1.3981,0.811,0.442,0.202,0.092,0.009,59,0,28,0,0,0,26044.04,1384.772,7504.331,494.461,25.230,12.912,2286.299,639.483,0.000,3622.938,2898.350,544.634,1110.214,1197.164,0.000143,0.000634,8,0,18,10,10,7,3337,3,10,111.230
61,2.0,699,11430,0,160,353,82,104,0,23.41,0.733,0.868,0.177,0.174,0.162,-0.319,1.541,0.3640,1.8400,0.819,0.444,0.134,0.082,-0.005,70,0,26,0,0,0,32980.54,1389.610,13495.129,486.299,80.104,17.181,2653.829,819.455,0.000,7700.735,6160.588,543.600,1919.212,958.296,0.000077,0.000785,24,0,20,6,11,10,3362,12,6,45.127
91,3.0,1283,9106,0,160,934,83,106,0,30.41,0.663,0.960,0.132,0.160,0.100,-0.483,1.549,0.3670,2.2489,0.833,0.419,0.075,0.074,-0.021,85,2,39,0,0,0,51984.82,1448.582,30170.510,519.394,95.060,15.088,3809.129,1517.652,0.000,19529.423,15623.539,512.737,2120.650,1268.155,0.000126,0.000164,7,0,35,4,16,15,4324,0,4,51.398
121,4.0,2247,5902,0,166,1897,80,104,0,33.75,0.628,1.010,0.095,0.141,0.068,-0.561,1.569,0.3641,2.4718,0.751,0.392,0.048,0.071,-0.026,130,4,78,0,0,0,81374.52,1440.314,48986.257,1150.408,344.557,19.276,6401.845,3408.424,0.000,32534.767,26027.814,1158.862,2579.825,2131.371,0.000148,0.001635,45,0,73,5,38,35,7315,2,5,103.437
151,5.0,3371,2331,35,175,3009,78,109,3,42.45,0.628,1.049,0.081,0.157,0.057,-0.595,1.574,0.3742,2.6726,0.792,0.343,0.041,0.068,-0.028,195,6,148,0,0,0,116002.21,1467.076,63339.410,1656.563,515.795,24.787,9920.661,5835.755,0.296,40592.165,32473.732,1660.011,2811.797,3488.404,0.000138,0.001688,69,0,148,0,54,54,12363,17,0,0.000
181,6.0,3659,952,35,172,3318,73,96,8,69.04,0.642,1.059,0.077,0.169,0.054,-0.604,1.577,0.3698,2.7449,0.795,0.302,0.031,0.067,-0.027,146,26,300,0,1,0,114379.37,1549.388,33150.384,2038.003,784.980,24.287,13305.828,8083.646,7.148,20743.043,16594.434,2130.542,2326.764,8358.079,0.000257,0.003350,105,0,291,9,192,191,17035,3,9,80.476
211,7.0,3618,574,35,167,3297,67,87,14,98.21,0.640,1.068,0.074,0.164,0.054,-0.607,1.571,0.3736,2.7903,0.814,0.293,0.026,0.066,-0.029,120,69,250,0,0,0,104317.40,1598.893,19252.935,1779.268,562.000,19.469,13645.018,8381.996,16.176,8968.149,7174.519,1764.724,1514.602,5576.927,0.000173,0.004893,81,0,242,8,154,149,18302,3,8,70.993
241,8.0,3460,429,35,171,3162,53,74,23,124.97,0.634,1.071,0.071,0.154,0.055,-0.613,1.579,0.3686,2.7988,0.780,0.269,0.024,0.065,-0.029,115,154,220,0,0,0,94841.44,1623.331,16989.093,1470.299,620.022,15.132,13154.216,8102.305,26.393,6869.780,5495.824,1424.251,1169.210,4308.350,0.000131,0.005045,101,0,218,2,141,139,18215,19,2,76.626
271,9.0,3187,491,35,168,2922,37,60,26,144.91,0.630,1.070,0.069,0.152,0.057,-0.620,1.589,0.3609,2.8030,0.783,0.262,0.026,0.066,-0.029,101,177,256,0,2,0,84919.34,1660.602,15781.451,2067.360,890.493,10.449,12141.724,7579.529,36.666,5310.515,4248.412,2083.181,1438.208,5090.107,0.000148,0.005988,148,0,248,8,137,130,17526,45,8,228.650
301,10.0,2971,570,32,173,2719,29,50,34,162.91,0.626,1.066,0.064,0.150,0.060,-0.625,1.597,0.3620,2.8078,0.759,0.237,0.025,0.066,-0.029,64,207,165,0,2,0,80242.30,1701.892,16809.907,1286.863,541.530,9.168,11148.794,6841.481,42.842,5118.180,4094.544,1266.345,1122.182,3030.411,0.000147,0.004987,122,0,163,2,93,92,16700,55,2,35.606
