tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
31,1.0,472,12917,0,153,121,87,111,1,11.35,0.831,0.798,0.233,0.216,0.224,-0.062,1.544,0.3692,1.3439,0.815,0.444,0.188,0.093,0.014,60,0,26,0,0,0,25865.28,1380.121,7378.997,42.801,26.209,12.922,2299.967,636.061,0.133,3328.096,2662.477,1380.205,971.683,145.834,0.000052,0.000244,20,0,16,10,11,8,3377,13,10,11.123
61,2.0,582,11490,0,159,218,87,118,1,20.04,0.840,0.830,0.196,0.235,0.193,-0.189,1.535,0.3731,1.4376,0.821,0.459,0.175,0.086,0.008,79,0,22,0,0,0,30653.76,1393.794,10526.483,33.326,15.761,18.389,2655.373,743.424,1.995,4728.966,3783.173,951.842,1718.772,147.917,0.000102,0.000291,32,0,16,6,10,9,3624,23,6,4.976
91,3.0,793,9818,0,157,428,82,126,3,33.50,0.860,0.891,0.148,0.254,0.151,-0.336,1.532,0.3757,1.6537,0.853,0.446,0.145,0.078,-0.006,85,2,20,0,0,0,39719.96,1423.271,17040.837,22.486,50.555,21.540,3356.841,1084.203,2.213,8594.403,6875.522,833.895,2296.456,127.908,0.000115,0.000059,13,0,14,6,4,4,4121,0,6,1.006
121,4.0,1280,7349,0,157,913,83,127,6,40.21,0.887,0.963,0.111,0.314,0.111,-0.459,1.539,0.3798,1.8905,0.825,0.408,0.102,0.071,-0.012,97,3,54,0,0,0,57871.40,1442.034,34207.418,105.278,203.070,24.384,5034.935,1994.594,5.578,20532.723,16426.179,2688.514,3418.391,354.735,0.000164,0.001000,30,0,48,6,30,26,5163,0,6,16.407
151,5.0,1990,4261,37,166,1621,82,121,16,48.08,0.905,1.009,0.091,0.355,0.092,-0.522,1.544,0.3953,2.0878,0.816,0.361,0.070,0.066,-0.010,135,10,82,0,0,0,82030.17,1478.016,48591.207,106.733,550.802,25.877,8396.117,3907.871,15.257,30616.013,24492.811,3163.009,3905.361,506.368,0.000164,0.001603,71,0,78,4,47,45,5712,12,4,9.869
181,6.0,2477,2293,37,159,2129,75,114,26,68.77,0.900,1.038,0.087,0.375,0.081,-0.550,1.564,0.3729,2.1958,0.824,0.321,0.046,0.065,-0.012,166,18,124,0,1,0,91689.68,1536.083,37505.363,154.600,803.187,28.988,11780.420,5998.985,35.936,23746.383,18997.107,4312.263,1861.105,798.555,0.000191,0.002331,94,0,115,9,76,69,6459,0,9,20.426
211,7.0,2742,984,37,156,2421,66,99,50,83.71,0.889,1.061,0.083,0.389,0.077,-0.570,1.571,0.3841,2.3067,0.823,0.288,0.038,0.063,-0.015,170,78,174,0,2,0,92966.55,1502.537,32675.467,193.942,805.528,30.258,13901.417,7212.488,65.558,19187.295,15349.837,6157.140,943.933,977.084,0.000113,0.002362,125,0,168,6,104,100,6830,1,6,15.271
241,8.0,2675,587,37,162,2376,54,83,60,103.44,0.877,1.069,0.084,0.383,0.078,-0.579,1.568,0.3786,2.3517,0.804,0.284,0.033,0.064,-0.015,140,122,196,0,4,0,83894.73,1540.042,19757.326,88.041,899.264,25.169,14178.193,7345.051,90.971,9334.915,7467.932,5616.063,321.405,1038.564,0.000203,0.004463,136,0,195,1,155,154,6526,8,1,2.953
271,9.0,2504,469,37,160,2232,43,69,65,126.10,0.866,1.074,0.085,0.369,0.080,-0.587,1.576,0.3842,2.3926,0.800,0.244,0.031,0.063,-0.018,114,171,147,0,11,0,75639.48,1625.952,16641.532,128.050,842.942,18.525,13343.058,7115.407,106.869,5871.131,4696.905,4037.516,75.930,797.779,0.000126,0.005975,159,0,144,3,80,77,6070,21,3,6.124
301,10.0,2336,535,36,161,2083,31,61,81,150.12,0.859,1.075,0.083,0.340,0.083,-0.593,1.572,0.3783,2.4152,0.830,0.224,0.031,0.061,-0.025,96,210,90,0,7,0,70749.98,1754.866,16744.429,68.594,665.417,17.583,12190.042,6732.842,124.320,5201.248,4160.999,2566.733,235.799,567.403,0.000146,0.007784,116,0,84,6,59,53,5820,6,6,7.016
331,11.0,2206,543,36,168,1967,23,48,85,170.93,0.857,1.075,0.082,0.331,0.087,-0.601,1.584,0.3875,2.4440,0.794,0.202,0.027,0.061,-0.027,106,185,104,0,15,0,69173.01,1849.983,18904.607,73.384,668.450,16.179,11274.146,6219.310,139.889,6565.490,5252.392,2748.897,109.558,600.051,0.000125,0.008566,113,0,101,3,72,69,5645,5,3,5.513
361,12.0,2180,628,36,165,1957,16,42,94,182.32,0.856,1.080,0.083,0.330,0.086,-0.610,1.585,0.3825,2.4526,0.788,0.188,0.025,0.061,-0.029,102,141,102,0,8,0,69850.02,1941.925,21202.241,80.049,685.637,11.719,10921.992,6147.180,146.748,8466.762,6773.410,2967.734,76.134,594.055,0.000109,0.009238,114,0,93,9,84,75,5668,0,9,27.338
391,13.0,2218,613,36,171,1996,13,38,95,199.96,0.856,1.081,0.082,0.333,0.088,-0.615,1.603,0.3732,2.4744,0.782,0.222,0.025,0.061,-0.028,95,97,100,0,8,0,72642.05,2040.306,22824.130,62.381,595.946,11.182,10867.260,6106.950,152.709,9059.530,7247.624,2494.007,168.890,533.066,0.000214,0.010291,117,0,95,5,66,63,5672,4,5,4.251
421,14.0,2277,651,36,175,2058,11,33,97,199.06,0.854,1.085,0.078,0.338,0.088,-0.618,1.608,0.3688,2.5047,0.732,0.217,0.024,0.061,-0.026,98,96,98,0,7,0,75474.36,2148.952,24086.348,70.640,581.945,10.863,11090.417,6265.538,147.005,9711.466,7769.173,3199.122,255.803,573.464,0.000145,0.010480,102,0,90,8,76,71,5748,6,8,8.493
451,15.0,2379,686,32,179,2164,8,28,109,222.88,0.856,1.092,0.075,0.340,0.087,-0.622,1.623,0.3687,2.5274,0.748,0.190,0.024,0.060,-0.027,89,90,100,0,16,0,80633.09,2226.187,27735.494,72.948,713.291,9.466,11482.411,6635.684,166.642,11628.979,9303.183,3355.295,256.693,653.368,0.000131,0.011044,108,0,92,8,81,75,5612,0,8,16.493
481,16.0,2488,677,32,173,2284,7,24,124,219.71,0.862,1.102,0.074,0.339,0.084,-0.625,1.621,0.3769,2.5454,0.749,0.150,0.022,0.060,-0.030,81,105,99,0,9,0,86663.84,2343.309,30035.150,91.965,1021.646,8.560,12120.073,7065.752,182.013,12288.946,9831.157,3627.441,160.150,826.463,0.000113,0.009498,140,0,86,13,75,67,6026,1,13,35.846
511,17.0,2650,705,32,177,2446,5,22,135,185.74,0.863,1.107,0.076,0.344,0.082,-0.628,1.629,0.3820,2.5549,0.751,0.147,0.022,0.059,-0.031,96,73,137,0,12,0,91279.70,2424.692,31224.533,87.861,902.227,10.043,12826.610,7525.160,205.854,14410.298,11528.238,4395.243,432.983,853.311,0.000152,0.010766,151,0,131,6,111,107,6137,1,6,10.138
541,18.0,2846,705,32,186,2634,5,21,170,207.76,0.863,1.115,0.074,0.334,0.082,-0.630,1.631,0.3937,2.5938,0.736,0.129,0.022,0.059,-0.034,80,58,142,0,8,0,96451.57,2586.018,33738.403,87.316,849.666,9.063,13759.737,8143.011,241.364,15152.336,12121.869,4807.995,410.154,847.149,0.000193,0.013567,134,0,135,7,120,113,6547,5,7,13.595
