tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
31,1.0,453,12778,0,157,102,80,114,0,17.94,0.861,0.790,0.187,0.203,0.240,-0.044,1.580,0.3354,1.2707,0.800,0.420,0.196,0.101,-0.000,49,0,17,0,0,0,25442.81,1392.468,6681.532,462.895,30.957,16.171,2345.538,624.144,0.000,2528.236,2022.589,730.367,1923.542,378.968,0.000118,-0.000391,10,0,12,5,2,2,2816,0,5,1.320,607,56,40,6,0,32,2
61,2.0,487,11476,0,168,125,78,116,0,29.00,0.874,0.789,0.191,0.187,0.238,-0.097,1.561,0.3349,1.2745,0.836,0.446,0.204,0.100,0.001,63,0,19,0,0,0,26843.65,1459.078,6264.863,330.785,27.209,20.115,2461.011,616.571,0.000,2113.758,1691.006,484.441,1954.047,715.070,0.000141,-0.000103,12,0,17,2,6,5,2773,7,2,5.741,496,21,15,5,0,8,2
91,3.0,543,10175,0,169,179,77,118,0,32.02,0.899,0.783,0.182,0.173,0.220,-0.182,1.557,0.3451,1.2881,0.829,0.444,0.190,0.103,-0.001,73,0,11,0,0,0,29536.81,1537.054,7937.907,171.718,39.832,24.626,2770.438,706.861,0.000,2791.105,2232.884,256.482,2416.901,244.617,0.000075,0.000147,37,0,9,2,4,3,3350,33,2,4.426,451,25,21,5,0,14,2
121,4.0,618,8963,0,178,243,78,119,0,43.97,0.915,0.774,0.169,0.158,0.207,-0.253,1.560,0.3626,1.3113,0.833,0.416,0.166,0.106,-0.001,89,3,12,0,0,0,32248.05,1599.539,8979.977,111.886,107.908,21.944,3197.457,888.425,0.000,3633.881,2907.105,207.292,2419.018,541.185,0.000113,0.000736,22,0,10,2,9,7,4647,2,2,7.853,503,28,21,2,0,13,6
151,5.0,712,7857,47,187,333,74,118,0,62.90,0.934,0.761,0.151,0.138,0.192,-0.331,1.567,0.3600,1.3263,0.815,0.417,0.141,0.110,-0.002,91,7,25,0,0,0,35441.12,1728.121,10907.247,91.957,69.083,18.056,3630.577,1051.369,0.000,5123.337,4098.670,346.266,2577.836,903.547,0.000105,0.001538,24,0,18,7,20,15,6002,7,7,16.499,469,19,16,1,0,8,7
181,6.0,833,6667,47,199,446,67,121,1,74.65,0.959,0.751,0.137,0.115,0.179,-0.398,1.574,0.3475,1.3063,0.785,0.357,0.131,0.114,-0.003,85,14,40,0,0,0,40176.75,1821.888,14930.204,142.362,222.289,21.167,4271.141,1362.309,0.088,7215.443,5772.355,609.470,2955.332,1517.397,0.000169,0.002702,34,0,32,8,27,25,7213,1,8,22.343,426,22,8,3,0,0,4
211,7.0,987,5432,47,212,592,61,122,0,90.93,0.979,0.744,0.119,0.104,0.167,-0.459,1.576,0.3767,1.3636,0.800,0.321,0.124,0.117,-0.007,109,26,46,0,2,0,46949.74,2020.660,18669.165,533.095,310.061,24.227,5144.546,1915.692,1.480,9472.070,7577.656,713.035,3109.878,1670.881,0.000101,0.002601,86,0,42,4,26,26,9344,16,4,0.179,326,18,14,9,0,1,4
241,8.0,1159,4340,47,219,753,64,123,1,108.31,1.002,0.745,0.121,0.103,0.155,-0.481,1.577,0.3770,1.4018,0.769,0.297,0.102,0.118,-0.005,113,30,50,0,0,0,53312.35,2205.848,19513.679,816.632,421.605,22.636,6023.144,2334.219,0.113,10627.511,8502.009,992.179,2924.663,1773.728,0.000174,0.001310,139,0,46,4,18,16,11941,59,4,2.836,400,42,34,18,0,9,7
271,9.0,1370,3029,47,232,946,56,136,1,126.07,1.030,0.754,0.119,0.092,0.146,-0.518,1.579,0.3761,1.4545,0.790,0.259,0.096,0.121,-0.007,131,44,54,0,0,0,61799.45,2358.916,24494.469,287.299,617.603,23.403,7556.914,3043.132,1.689,13246.029,10596.823,336.458,2569.201,2496.988,0.000152,0.000434,138,0,50,4,40,40,15238,63,4,0.124,541,27,21,4,1,14,2
301,10.0,1514,2330,40,255,1068,54,137,2,129.80,1.022,0.770,0.119,0.085,0.146,-0.546,1.581,0.3899,1.5512,0.766,0.227,0.085,0.123,-0.006,121,37,96,0,1,0,65550.73,2709.885,21261.171,1050.168,973.868,21.347,8534.144,3497.547,0.463,11079.124,8863.299,1342.123,2325.483,3354.349,0.000190,0.000689,182,0,90,6,56,52,17080,60,6,18.965,708,66,60,28,0,26,6
