tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
31,1.0,451,12788,0,157,102,79,113,1,17.44,0.864,0.788,0.184,0.201,0.240,-0.048,1.584,0.3309,1.2740,0.788,0.420,0.187,0.101,-0.001,51,0,16,0,0,0,25173.63,1385.137,6608.858,36.925,25.315,16.236,2343.409,680.528,0.136,2408.122,1926.498,899.438,1779.878,86.393,0.000099,-0.000203,9,0,10,6,2,2,2814,0,6,1.726,612,47,31,4,0,25,2
61,2.0,483,11504,0,165,128,75,115,1,31.11,0.879,0.782,0.181,0.177,0.237,-0.111,1.563,0.3290,1.2323,0.824,0.467,0.195,0.101,-0.002,64,0,19,0,0,0,26463.32,1437.485,6305.555,43.345,48.145,20.238,2453.669,666.721,2.035,2055.244,1644.195,981.956,1852.204,129.064,0.000089,-0.000265,22,0,16,3,5,4,2966,9,3,5.871,501,31,25,6,0,17,1
91,3.0,532,10242,0,166,175,73,118,1,38.26,0.897,0.775,0.188,0.161,0.221,-0.190,1.568,0.3410,1.2025,0.848,0.452,0.191,0.102,-0.002,82,1,9,0,1,0,28474.94,1526.618,7763.096,13.848,119.464,23.655,2719.467,785.620,0.722,2439.227,1951.382,489.789,2652.270,156.232,0.000132,-0.000650,41,0,7,2,5,4,3608,27,2,4.933,467,16,14,2,0,5,7
121,4.0,591,9108,0,176,223,73,119,1,43.28,0.903,0.772,0.186,0.150,0.214,-0.245,1.575,0.3502,1.2284,0.824,0.438,0.154,0.104,-0.003,77,2,25,0,1,0,29857.55,1606.817,8087.172,25.260,204.666,22.306,3051.526,966.345,1.663,3402.183,2721.746,1116.210,2370.976,149.481,0.000167,0.001494,76,0,21,4,18,16,4411,61,4,6.557,467,19,15,5,0,7,3
151,5.0,652,8084,36,182,280,73,117,1,52.37,0.907,0.771,0.184,0.133,0.203,-0.307,1.581,0.3375,1.2842,0.790,0.423,0.138,0.106,-0.002,89,11,25,0,0,0,31962.76,1650.082,9128.475,18.678,196.344,22.073,3391.261,1120.318,1.561,3794.049,3035.239,1092.544,2107.836,219.695,0.000173,0.003068,87,0,20,5,23,19,5307,74,5,12.304,472,12,11,1,0,7,3
181,6.0,761,6976,36,193,385,66,117,0,71.44,0.917,0.771,0.162,0.113,0.188,-0.394,1.586,0.3367,1.3152,0.782,0.363,0.127,0.108,0.001,86,17,14,0,1,0,35477.43,1756.034,11187.607,28.923,153.851,22.290,3878.925,1473.526,0.989,5591.871,4473.497,693.808,2147.554,144.726,0.000084,0.002148,71,0,8,6,6,4,6608,50,6,22.225,403,22,8,1,0,4,3
211,7.0,895,6040,36,207,516,58,114,0,86.76,0.917,0.758,0.150,0.103,0.176,-0.467,1.587,0.3421,1.3814,0.768,0.357,0.099,0.114,-0.000,101,29,20,0,0,0,40004.56,1935.404,13096.736,8.712,236.222,26.864,4501.485,2117.082,0.000,7213.096,5770.477,745.792,1549.323,157.415,0.000119,0.002759,78,0,19,1,15,14,8893,60,1,1.495,290,15,4,0,0,0,4
241,8.0,1035,5105,36,223,656,48,108,0,117.33,0.919,0.748,0.147,0.098,0.167,-0.528,1.588,0.3525,1.4161,0.763,0.327,0.092,0.116,0.001,110,43,21,0,0,0,45675.57,2125.016,15187.769,26.987,375.082,24.018,5086.574,2498.795,0.000,8016.411,6413.129,615.445,1663.524,201.146,0.000163,0.001904,124,0,15,6,9,4,10963,77,6,11.866,247,25,25,6,0,14,5
271,9.0,1270,4036,36,243,888,39,100,2,149.02,0.936,0.763,0.130,0.087,0.155,-0.589,1.596,0.3589,1.5115,0.733,0.296,0.083,0.118,-0.003,119,53,12,0,0,0,53812.16,2325.759,19855.920,9.067,695.522,27.341,6093.617,3041.039,0.224,11984.870,9587.896,566.132,1564.200,391.967,0.000134,0.001556,146,0,10,2,8,8,13267,73,2,1.266,205,13,13,1,1,9,2
301,10.0,1537,3028,34,255,1166,31,85,5,147.96,0.944,0.782,0.114,0.085,0.143,-0.632,1.584,0.3699,1.5965,0.757,0.275,0.063,0.120,-0.003,144,58,31,0,0,0,63489.95,2651.447,24593.880,20.308,848.899,25.348,7444.296,4004.552,3.888,14170.140,11336.112,1127.670,1746.469,426.939,0.000144,0.001450,154,0,26,5,30,25,16841,62,5,16.249,211,15,12,0,0,12,0
