tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore
31,1.0,461,12782,0,157,96,81,127,0,17.19,0.858,0.792,0.187,0.193,0.236,-0.018,1.588,0.3319,1.2826,0.802,0.414,0.230,0.101,0.001,38,0,16,0,0,0,26343.86,1402.736,8178.647,42.344,48.001,14.887,2366.439,635.234,0.000,2747.661,2198.129,875.730,2174.908,92.148,0.000123,-0.000421,26,0,10,6,3,2,2875,18,5,2.321,630,72,56,3,0,48,5,647,66,48,6,0,42,0,1351,257,2,2861.541,2525.661,23.057,0.156,0.000,309.101,80.384,3.598,7,2,0,2,0,32,1503,240,1,2743.238,1820.757,9.986,0.000,0.000,288.133,95.532,2.183,11,0,0,0,0,0,1491,259,2,2949.736,1218.668,3.527,1.493,0.000,309.541,82.963,2.434,5,2,0,2,0,29,2163,485,0,5475.000,1475.352,0.000,10.667,1.454,502.948,143.451,8.937,14,3,0,3,0,72,1337,380,0,4792.500,608.470,0.000,5.647,0.703,292.134,80.072,5.271,8,3,0,3,0,55,1144,219,3,2651.795,74.819,0.115,20.206,0.164,250.970,79.198,9.078,0,0,0,0,0,0,0,2,0,0,7,0,0,0,2,0,0,2
61,2.0,515,11321,0,166,115,79,155,0,31.49,0.869,0.794,0.191,0.176,0.225,-0.054,1.569,0.3319,1.2920,0.800,0.446,0.209,0.100,0.001,67,0,19,0,0,0,28534.54,1445.175,7922.180,47.760,35.547,17.899,2522.420,658.750,0.000,2840.413,2272.330,1022.980,2342.804,109.400,0.000117,0.000375,17,0,16,3,6,5,3002,3,3,6.934,500,27,15,5,0,9,1,737,144,142,7,0,135,0,1508,235,0,2357.500,2051.290,0.000,0.352,6.213,331.517,85.296,9.031,15,3,0,3,0,131,1626,264,1,2973.485,1986.276,7.777,0.000,0.000,318.756,98.416,2.704,13,4,0,4,0,202,1562,233,9,2472.523,1064.476,20.817,1.206,0.000,321.881,82.532,3.822,5,2,0,2,0,85,2586,502,3,7034.470,1879.746,3.646,19.189,0.715,580.742,165.390,16.285,23,1,0,1,0,38,1349,267,1,3982.191,512.638,0.218,9.535,0.000,287.128,76.588,2.893,4,1,0,1,0,34,1028,193,0,2585.000,88.648,0.000,10.544,0.006,220.446,65.593,3.490,0,5,0,5,0,223,1,0,0,0,4,0,0,1,1,0,0,1
91,3.0,614,9754,0,171,165,84,194,0,34.18,0.890,0.798,0.204,0.164,0.201,-0.105,1.581,0.3266,1.3114,0.806,0.462,0.174,0.101,0.000,74,0,10,0,0,0,32292.44,1486.752,10497.026,21.267,64.578,21.759,2968.481,794.569,0.000,4257.851,3406.281,436.877,3109.025,86.619,0.000101,0.001348,33,0,7,3,3,2,3773,23,3,5.380,522,22,17,4,0,10,3,996,324,311,1,3,307,0,1954,284,1,3735.113,3251.733,10.756,0.168,0.000,413.383,96.297,14.051,27,2,0,2,0,5,2191,306,3,3854.293,2535.661,12.519,0.000,4.228,468.725,124.705,10.466,27,0,0,0,0,0,1817,270,1,2621.062,1178.554,0.524,0.000,0.000,374.102,99.196,3.544,7,2,0,2,0,67,3341,567,4,9904.813,2620.845,4.844,2.683,0.903,715.384,215.186,23.320,32,2,0,2,0,139,1489,281,1,4406.724,575.716,1.250,4.958,0.248,306.843,93.366,2.386,8,1,0,1,0,40,960,155,0,1880.000,60.031,0.000,8.079,0.000,208.566,59.608,4.327,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
121,4.0,721,8128,0,175,198,88,260,0,49.77,0.904,0.816,0.215,0.145,0.183,-0.113,1.583,0.3468,1.3826,0.814,0.446,0.147,0.100,-0.003,72,4,21,0,0,0,36161.28,1566.797,11171.567,33.441,72.832,19.840,3580.537,1055.134,0.000,5146.074,4116.859,944.393,2144.355,149.335,0.000156,0.002973,27,0,17,4,12,11,4972,10,4,7.853,655,43,38,5,0,30,3,1231,397,382,1,0,380,1,2709,261,6,3193.156,2756.652,38.700,0.909,0.000,565.667,141.118,46.124,27,4,0,4,0,268,2766,277,1,3095.788,2060.911,2.251,0.332,5.051,585.530,163.012,21.035,15,5,1,4,0,378,2136,310,2,3373.981,1471.096,7.743,0.000,0.000,435.778,120.517,5.035,15,4,0,4,0,211,4674,747,5,15205.526,4027.237,12.392,1.639,2.556,963.427,314.215,25.709,59,6,3,3,0,516,1629,254,2,4131.027,547.199,0.474,7.325,0.246,328.041,101.424,2.416,6,0,0,0,0,0,922,147,1,1595.172,49.951,0.001,15.382,0.000,200.441,55.994,5.926,1,2,0,2,0,201,0,1,0,0,0,0,0,0,0,0,0,1
151,5.0,840,6710,33,189,240,94,317,0,59.65,0.914,0.824,0.207,0.125,0.173,-0.129,1.590,0.3514,1.4142,0.790,0.402,0.124,0.102,0.001,86,5,21,0,0,0,39845.47,1665.676,11521.597,24.087,138.790,17.253,4176.240,1309.531,0.000,5767.394,4613.915,758.845,1879.450,249.627,0.000194,0.003459,81,0,20,1,15,14,6177,54,1,2.625,819,123,119,2,0,117,0,1607,611,565,10,0,552,3,3241,253,4,3214.352,2742.476,19.253,1.005,0.000,663.993,167.544,64.293,27,7,1,6,0,646,3322,264,9,3286.535,2131.200,65.693,0.000,2.625,685.278,197.747,33.825,23,2,1,1,0,145,2536,317,2,4104.185,1763.739,5.520,7.493,0.000,512.342,156.168,19.454,17,6,0,6,0,497,6125,667,6,14146.087,4039.445,23.149,6.006,0.000,1235.570,401.717,29.797,56,8,2,6,0,651,1865,244,5,4104.134,549.865,1.315,0.000,0.000,361.143,117.182,5.636,7,1,0,1,0,26,895,66,1,814.279,27.977,0.001,6.958,0.000,192.730,54.537,3.746,0,1,1,0,0,146,0,0,0,0,1,0,0,2,1,0,0,0
181,6.0,971,5341,33,196,284,96,395,1,78.76,0.932,0.835,0.191,0.116,0.162,-0.145,1.611,0.3412,1.4337,0.763,0.372,0.105,0.105,0.003,91,16,17,0,0,0,44640.69,1766.008,13756.483,53.900,192.977,19.053,4968.953,1537.116,0.132,6663.121,5330.497,923.206,1762.799,256.337,0.000171,0.001494,55,0,10,7,4,2,7143,19,7,21.013,849,196,174,7,0,159,8,2062,998,947,1,0,944,2,3692,306,8,3670.288,3153.028,55.731,0.034,20.837,758.815,190.145,49.698,26,4,3,1,0,601,3966,276,3,4304.250,2818.206,31.628,0.113,0.000,828.903,228.786,39.587,31,8,6,2,0,932,3046,285,2,4747.642,1929.315,21.215,0.000,0.000,636.292,193.015,18.548,20,0,0,0,0,0,7811,800,22,17684.067,5171.968,57.489,4.376,0.000,1608.865,523.316,39.520,65,8,4,4,0,932,1992,179,1,3672.689,523.382,0.279,1.292,0.138,388.794,121.143,8.925,7,2,0,2,0,342,830,61,0,842.500,30.970,0.000,27.073,0.038,175.025,50.668,16.316,0,3,2,1,0,503,0,0,0,0,1,0,0,0,0,0,0,0
211,7.0,1091,4142,33,201,368,90,432,2,99.56,0.945,0.827,0.182,0.103,0.154,-0.192,1.604,0.3471,1.4477,0.804,0.348,0.093,0.110,0.006,94,35,23,0,1,0,49646.99,1913.007,14915.992,22.577,169.287,18.518,5675.230,1876.372,2.120,7317.386,5853.909,927.666,1646.543,253.872,0.000174,-0.000835,60,0,17,6,12,11,8141,33,6,6.272,554,91,76,1,0,69,6,2688,1423,1384,5,0,1376,3,4387,300,7,3952.414,3357.383,66.655,0.742,5.576,884.005,216.280,78.282,37,13,5,7,1,1227,5463,474,2,7885.929,5349.970,5.742,0.614,0.000,1153.686,306.859,39.098,71,9,7,2,0,1480,3615,217,1,4091.134,1616.716,5.259,0.000,0.000,747.273,249.220,36.043,17,7,4,3,0,989,8720,634,17,13281.576,3877.078,56.403,13.191,0.000,1771.480,660.340,55.684,39,14,11,3,0,1954,2125,176,0,3507.500,493.987,0.000,1.758,0.000,401.138,121.057,5.981,4,4,3,1,0,727,703,50,0,462.500,15.308,0.000,0.000,0.696,141.599,40.850,10.222,0,6,5,1,0,1189,0,0,0,0,3,0,0,1,0,0,0,0
241,8.0,1282,3030,33,216,515,82,469,7,122.03,0.959,0.825,0.165,0.093,0.146,-0.257,1.594,0.3519,1.4689,0.778,0.315,0.082,0.115,0.008,98,31,14,0,0,0,55690.33,2154.100,17561.823,19.469,320.100,16.280,6573.786,2314.414,4.821,9677.931,7742.345,621.854,1814.988,426.596,0.000174,-0.002933,145,0,14,0,7,7,10052,104,0,0.000,389,36,36,4,0,30,2,3628,1889,1804,4,0,1800,0,5825,450,10,6675.596,5571.995,116.669,0.649,0.000,1185.105,342.902,88.497,74,7,4,3,0,518,7324,519,5,9585.122,6651.222,15.700,1.217,0.000,1539.781,512.203,53.760,86,5,2,3,0,553,4025,171,4,3068.239,1249.160,7.977,0.824,0.000,831.315,275.190,46.594,10,9,7,2,0,1575,9616,555,19,12508.891,3648.143,83.221,6.631,0.000,1954.002,730.372,59.175,48,14,8,6,0,1863,2053,105,3,1825.551,250.078,7.319,10.148,0.000,363.456,116.400,1.998,2,6,6,0,0,1267,534,22,0,357.500,19.855,0.000,0.000,0.000,95.310,25.950,0.300,0,4,4,0,0,898,0,1,0,0,1,0,0,0,0,0,0,0
271,9.0,1433,2120,33,229,653,70,481,11,152.90,0.974,0.829,0.159,0.087,0.140,-0.314,1.597,0.3597,1.5378,0.792,0.301,0.073,0.119,0.011,121,50,31,0,1,0,61381.70,2412.408,18769.070,40.522,637.655,21.482,7590.350,2807.811,13.104,9678.505,7742.804,1254.794,1454.180,474.687,0.000181,-0.005605,197,0,30,1,17,17,12156,98,1,0.484,477,100,95,12,0,76,7,3856,1906,1858,2,0,1837,19,7868,442,31,8068.564,6557.505,197.600,0.846,0.000,1629.570,521.851,106.618,85,15,7,8,0,2210,9546,495,42,9900.315,6657.269,306.357,4.977,0.000,2011.922,727.870,81.254,91,22,10,12,0,2143,4085,189,1,3280.255,1361.663,3.007,1.665,0.000,847.640,295.418,44.627,8,10,9,1,0,2048,10194,567,23,12764.707,3821.653,55.004,5.243,0.000,2062.141,759.952,58.650,35,22,15,6,1,3718,1914,105,2,1789.389,241.381,0.347,27.308,0.484,324.433,112.844,14.955,0,4,2,2,0,1012,415,9,0,102.500,5.785,0.000,0.000,0.000,72.031,17.400,0.113,0,8,7,1,0,2103,0,0,0,0,1,0,0,0,0,0,0,0
301,10.0,1570,1518,33,235,775,64,496,13,161.79,0.990,0.837,0.153,0.089,0.135,-0.348,1.599,0.3570,1.5936,0.774,0.289,0.064,0.122,0.011,109,41,39,0,1,0,65256.18,2617.020,18360.440,51.955,778.192,17.426,8593.175,3437.899,18.659,9083.970,7267.176,1566.925,1181.854,539.629,0.000178,-0.006881,170,0,33,6,21,18,14086,66,6,6.634,741,178,159,15,2,129,13,3960,1859,1792,1,0,1777,14,10092,350,39,6462.778,5159.937,285.505,1.256,0.885,2120.172,744.866,168.134,62,11,2,9,0,1723,11616,498,48,11088.049,7512.046,395.851,2.366,1.625,2448.967,1000.334,85.315,102,30,13,17,0,3432,3969,157,4,3121.017,1265.214,21.207,0.351,1.770,844.054,291.168,46.290,9,8,5,2,1,1777,10648,600,9,13749.421,4053.615,53.900,0.000,0.000,2184.151,819.139,51.806,31,19,16,3,0,3522,1784,82,4,1806.844,266.739,7.461,41.348,2.355,296.148,125.814,25.884,2,5,3,2,0,1184,220,9,0,137.500,5.542,0.000,0.000,0.000,35.628,9.897,0.107,0,2,2,0,0,582,0,0,0,0,1,0,0,0,0,0,0,1
