tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
31,1.0,440,10028,0,151,103,77,109,0,13.42,0.869,0.780,0.193,0.165,0.238,-0.072,1.570,0.3043,1.2492,0.815,0.517,0.208,0.108,0.003,44,0,31,0,0,0,24920.16,1439.934,6488.748,52.328,8.876,19.433,2256.522,633.486,0.000,2627.914,2102.331,1564.347,1344.158,143.328,0.000127,-0.000891,7,0,22,9,11,9,3423,0,9,8.193,730,76,52,7,0,39,6
61,2.0,514,8957,0,154,178,76,106,0,24.18,0.894,0.815,0.175,0.134,0.209,-0.248,1.547,0.3211,1.3071,0.850,0.519,0.192,0.113,0.009,50,0,19,0,0,0,28223.20,1442.431,9159.513,29.162,115.727,17.467,2519.877,692.549,0.000,3747.449,2997.959,986.014,2216.291,163.852,0.000116,-0.002121,22,0,14,5,14,10,4025,1,5,10.017,664,64,55,1,4,50,0
91,3.0,627,7881,0,149,296,74,108,2,32.67,0.922,0.872,0.155,0.113,0.170,-0.400,1.551,0.3128,1.3670,0.862,0.523,0.146,0.117,0.016,63,1,22,0,0,0,32682.95,1473.840,11413.046,28.035,31.667,19.395,3052.910,934.957,0.272,5545.737,4436.590,1048.298,2131.025,178.553,0.000135,-0.003037,39,0,17,5,16,13,5825,3,5,4.441,661,67,29,4,0,23,2
121,4.0,756,6685,0,140,433,73,110,2,43.01,0.949,0.917,0.139,0.097,0.138,-0.500,1.565,0.3019,1.4717,0.834,0.529,0.127,0.122,0.021,61,2,48,0,0,0,37470.46,1424.398,14131.308,44.830,239.579,20.733,3743.416,1236.593,2.458,7268.274,5814.619,1980.014,2152.091,244.796,0.000143,-0.003720,56,0,37,11,31,26,7581,4,11,18.727,638,56,32,1,2,27,2
151,5.0,1121,5199,42,144,796,68,113,7,50.02,0.975,0.989,0.115,0.077,0.104,-0.646,1.573,0.2986,1.6585,0.821,0.507,0.089,0.125,0.030,68,8,35,0,0,0,51258.85,1384.892,26182.027,26.231,328.605,19.377,5141.205,1826.205,5.614,16343.755,13075.004,1334.914,2075.632,152.446,0.000169,-0.004041,38,0,32,3,29,27,10304,0,3,10.519,597,120,100,1,0,96,3
181,6.0,1857,2878,42,151,1535,61,110,13,65.01,1.000,1.059,0.097,0.052,0.078,-0.746,1.570,0.3010,1.8934,0.813,0.444,0.060,0.129,0.034,81,16,52,0,1,0,78955.91,1466.873,50145.595,78.606,841.722,16.984,8362.443,3461.002,14.088,32368.683,25894.947,2208.819,3146.311,327.618,0.000123,-0.004790,73,0,50,2,31,29,16441,3,2,3.857,561,121,120,11,0,107,2
211,7.0,2289,1553,42,153,1985,48,103,14,88.65,0.996,1.069,0.091,0.045,0.069,-0.787,1.571,0.3012,1.9757,0.814,0.366,0.048,0.131,0.034,90,33,71,0,2,0,87671.73,1554.364,34373.897,55.058,1140.872,21.004,12441.924,5825.559,23.901,21149.542,16919.634,2638.787,1665.431,441.989,0.000191,-0.003574,107,0,68,3,55,52,25891,5,3,5.054,495,146,137,9,0,122,6
241,8.0,2437,845,42,149,2165,34,89,21,105.22,0.992,1.075,0.090,0.043,0.065,-0.812,1.572,0.3047,2.0080,0.801,0.342,0.045,0.131,0.032,68,78,121,0,4,0,86273.97,1628.333,25994.096,81.868,1183.896,16.167,13883.154,6494.699,29.964,13837.239,11069.791,4114.161,1220.499,592.130,0.000212,-0.003284,124,0,113,8,97,89,29831,0,8,23.185,401,96,85,8,0,66,11
271,9.0,2402,419,42,144,2153,26,79,34,111.15,0.987,1.083,0.092,0.042,0.064,-0.821,1.567,0.3048,2.0474,0.811,0.278,0.046,0.131,0.032,72,147,152,0,5,0,81202.05,1609.747,23025.093,93.811,1240.517,10.616,14224.237,6543.348,47.616,10697.458,8557.966,5302.464,881.698,661.712,0.000139,-0.003006,155,0,144,8,125,117,30617,43,8,40.886,350,72,71,4,3,64,0
301,10.0,2236,395,35,139,2006,18,73,39,127.07,0.984,1.087,0.092,0.041,0.065,-0.825,1.573,0.3011,2.0784,0.821,0.223,0.044,0.130,0.032,53,171,140,0,7,0,73783.56,1591.641,17306.360,65.522,792.062,10.303,13525.688,6369.713,61.225,6039.725,4831.780,4139.663,521.476,556.302,0.000167,-0.003875,82,0,131,9,113,106,28938,0,9,24.182,269,82,80,5,1,72,2
