tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore
31,1.0,429,12811,0,135,102,76,116,1,16.26,0.871,0.800,0.191,0.209,0.224,-0.052,1.565,0.3309,1.2674,0.472,0.185,0.190,0.100,0.001,40,0,19,0,0,0,24627.59,747.804,6775.316,42.629,29.259,16.485,2306.019,594.970,0.121,1821.232,1456.985,1001.594,1967.408,117.923,0.000081,-0.000124,31,0,12,7,2,2,2781,22,7,1.589,595,49,31,6,1,24,0,718,137,90,5,0,85,0,1401,279,1,3282.205,2785.596,16.086,0.045,0.000,322.808,83.332,1.464,11,2,0,2,0,32,1480,257,3,2729.334,1578.418,7.042,0.000,0.000,280.075,94.097,0.278,10,0,0,0,0,0,1524,281,1,3144.241,997.604,1.087,1.021,0.000,322.580,88.959,1.228,5,2,0,2,0,29,2027,411,1,4169.374,732.150,0.369,7.575,0.941,480.243,129.590,2.560,8,5,0,5,0,102,1255,355,0,4657.500,297.533,0.000,12.846,0.607,274.474,73.119,2.930,3,2,0,2,0,33,1129,220,3,2414.252,22.968,0.024,19.554,0.041,243.097,76.636,2.479,0,1,0,1,0,14,0,2,0,0,4,1,0,1,0,0,0,1
61,2.0,448,11526,0,145,116,71,116,1,27.95,0.866,0.797,0.193,0.190,0.229,-0.097,1.560,0.3326,1.2609,0.466,0.366,0.201,0.099,-0.001,61,0,19,0,0,0,24853.41,730.471,5840.385,53.079,20.326,20.322,2309.419,562.830,1.814,1415.945,1132.756,1027.158,2127.329,86.377,0.000081,0.000189,9,0,18,1,5,4,2801,2,1,5.009,515,27,22,8,0,11,3,640,140,98,6,0,92,0,1544,249,2,2715.523,2285.047,5.710,0.099,5.009,345.984,87.781,1.506,13,5,0,5,0,140,1646,292,0,2977.500,1712.130,0.000,0.000,0.000,318.406,98.076,0.212,10,4,0,4,0,158,1492,211,4,2367.702,784.014,12.768,0.000,0.000,313.124,79.610,1.139,0,2,0,2,0,84,1986,324,0,3270.000,576.221,0.000,12.942,0.000,473.754,123.190,3.587,3,1,0,1,0,59,1189,214,1,3234.338,207.987,0.085,5.217,0.000,261.016,64.403,0.758,1,1,0,1,0,34,996,191,0,2132.500,24.609,0.000,29.812,0.000,205.459,62.448,2.175,0,5,0,5,0,221,0,0,0,0,0,0,0,0,0,0,0,0
91,3.0,478,10352,0,150,142,68,118,1,39.44,0.871,0.792,0.198,0.187,0.223,-0.149,1.567,0.3309,1.2834,0.483,0.427,0.204,0.100,0.000,73,1,11,0,0,0,25265.12,761.655,6425.927,14.501,47.942,23.280,2454.574,570.171,1.814,1557.976,1246.381,497.358,2854.066,100.798,0.000078,0.000046,21,0,7,4,6,4,2769,4,4,7.576,451,15,12,1,0,9,2,637,120,62,2,0,58,2,1882,290,1,3178.675,2677.876,4.993,0.034,2.987,412.989,94.767,2.682,12,1,0,1,0,91,1934,272,7,3392.672,1990.660,23.988,0.000,3.246,377.787,104.176,0.596,15,1,0,1,0,79,1530,221,5,2452.411,796.443,9.692,0.000,0.000,320.923,79.876,0.611,5,1,1,0,0,84,1984,299,3,3319.437,580.200,1.506,3.302,1.045,477.766,124.273,2.551,1,2,0,2,0,141,1164,215,1,2813.291,179.053,0.860,0.000,0.298,257.199,63.917,0.211,0,2,0,2,0,139,920,172,0,1955.000,22.936,0.000,3.588,0.000,192.534,56.427,0.639,0,1,0,1,0,81,0,0,0,0,0,0,0,1,0,0,0,0
121,4.0,511,9287,0,152,171,66,122,3,53.73,0.869,0.808,0.194,0.178,0.213,-0.199,1.567,0.3419,1.2997,0.483,0.454,0.189,0.101,-0.005,64,3,13,0,0,0,25772.52,803.747,6131.269,17.429,12.818,20.862,2605.194,603.612,2.031,1828.609,1462.888,594.358,2209.906,64.212,0.000070,0.000146,10,0,9,4,9,6,3298,0,4,8.238,462,10,2,2,0,0,0,673,86,53,0,0,52,1,2224,298,2,2939.766,2573.814,3.992,0.114,2.187,474.049,110.144,2.169,20,4,0,4,0,283,2426,314,4,3449.603,2029.586,5.530,0.146,5.797,467.426,130.113,1.503,17,2,0,2,0,214,1622,223,1,2220.895,748.141,1.716,0.000,0.000,332.805,86.372,0.810,5,2,0,2,0,210,1968,195,2,2117.597,376.247,1.580,0.000,0.254,472.061,119.271,0.915,1,2,2,0,0,209,1140,188,0,2320.000,160.131,0.000,0.000,0.000,253.877,59.597,0.114,0,0,0,0,0,0,871,145,1,1614.695,18.480,0.000,7.733,0.000,183.743,51.030,1.082,0,2,1,1,0,212,0,0,0,0,2,0,0,0,0,0,0,0
151,5.0,555,8235,66,151,220,65,119,3,63.64,0.873,0.825,0.185,0.169,0.199,-0.274,1.566,0.3366,1.3687,0.474,0.437,0.171,0.098,-0.012,56,5,14,0,0,0,26787.05,805.649,7236.978,6.339,33.398,20.063,2796.878,695.639,5.064,2359.320,1887.456,599.640,2335.458,129.902,0.000082,0.000583,13,0,9,5,6,6,3824,4,4,0.994,491,14,10,2,0,8,0,769,160,115,1,0,113,1,2736,320,1,3037.362,2606.817,6.685,0.142,0.000,570.970,142.392,5.552,29,3,0,3,0,150,3031,418,1,4714.607,2784.371,14.245,0.124,0.000,559.876,175.453,3.577,26,1,0,1,0,65,1796,271,2,3437.233,1122.983,8.065,0.000,0.000,370.610,103.438,1.216,3,1,0,1,0,17,1884,203,2,2249.552,412.020,4.092,1.030,0.000,441.314,110.071,1.589,1,8,5,3,0,1027,1140,141,2,1587.068,97.356,0.170,3.593,0.994,254.042,60.146,1.904,0,0,0,0,0,0,829,87,1,885.288,10.038,0.000,0.000,0.000,175.070,49.040,0.113,0,1,0,1,0,140,0,0,0,0,2,0,0,0,0,0,0,0
181,6.0,634,7041,66,147,305,59,123,4,82.95,0.848,0.897,0.166,0.148,0.176,-0.347,1.567,0.3339,1.6336,0.473,0.435,0.138,0.094,-0.020,73,14,31,0,0,0,29241.21,817.260,10043.992,71.511,76.650,22.036,3101.893,850.885,5.147,4420.697,3536.557,1650.907,1841.949,143.679,0.000124,0.000903,12,0,24,7,14,11,4235,0,7,20.164,470,28,18,9,0,7,2,726,112,75,3,0,72,0,3373,362,3,3717.964,3155.602,35.683,0.109,18.355,695.672,185.209,5.736,27,12,5,7,0,1186,4344,629,8,9252.684,5425.186,40.807,0.204,0.000,754.365,305.501,4.610,83,13,3,10,0,989,1863,216,0,2197.500,772.192,0.000,0.000,0.000,394.594,110.195,0.647,8,3,1,2,0,328,1771,217,0,2205.000,400.634,0.000,4.683,1.319,403.970,93.193,1.279,1,3,3,0,0,533,1111,118,1,1517.324,99.391,0.160,11.770,0.488,255.291,56.338,1.594,2,4,0,4,0,681,766,99,0,1145.000,15.302,0.000,33.567,0.002,165.319,43.911,2.945,0,3,2,1,0,499,0,0,0,0,0,0,0,0,0,0,0,1
211,7.0,816,5605,66,150,498,49,119,4,95.52,0.806,1.007,0.150,0.118,0.150,-0.445,1.567,0.3285,2.1862,0.487,0.427,0.113,0.089,-0.036,67,25,31,0,1,0,36788.23,847.239,16148.612,41.259,57.462,19.395,3533.405,1249.470,6.227,8324.312,6659.450,1095.152,1804.984,135.993,0.000088,0.000624,17,0,30,1,10,10,5494,5,1,0.018,391,19,18,13,0,5,0,811,168,100,6,0,77,17,4285,546,2,4992.273,4354.471,4.072,0.102,0.000,830.548,251.918,8.575,53,13,5,8,0,1261,7394,1004,7,17569.434,10391.568,37.175,0.051,0.000,1155.676,653.349,10.968,174,20,5,14,1,1611,2039,184,1,2450.281,822.384,0.859,0.000,0.000,421.019,115.635,1.524,5,2,2,0,0,386,1541,145,2,1569.611,276.060,1.426,5.930,0.000,343.674,79.922,1.738,1,9,5,4,0,1375,975,114,0,1380.000,91.826,0.000,33.926,0.000,217.129,48.624,2.364,1,7,5,2,0,1351,660,58,0,645.000,9.570,0.000,0.000,0.018,136.692,35.109,0.378,0,4,2,2,0,784,0,0,0,0,1,0,0,0,0,0,0,0
241,8.0,1075,4403,66,156,765,41,113,6,112.17,0.783,1.103,0.144,0.099,0.129,-0.513,1.574,0.3395,2.4846,0.492,0.391,0.085,0.085,-0.046,78,17,35,0,0,0,44901.83,925.382,18142.685,28.639,115.445,14.508,4362.930,1871.485,6.113,10840.318,8672.254,1412.007,942.246,220.262,0.000150,0.001573,41,0,33,2,25,24,7481,10,2,5.428,315,17,16,9,0,7,0,732,161,103,5,0,94,4,5848,549,9,5575.262,4801.270,65.334,0.132,5.014,1083.085,368.558,10.446,74,10,0,10,0,147,12351,1010,5,20613.085,12388.734,33.059,1.278,0.000,1843.263,1178.912,21.219,224,21,3,18,0,1209,2082,147,8,1617.784,546.647,8.169,3.621,0.000,425.302,110.346,2.180,5,6,3,3,0,1168,1381,112,0,1172.500,210.084,0.000,0.000,0.000,302.394,65.389,0.968,0,5,3,2,0,913,824,78,0,1040.000,62.014,0.000,18.181,0.413,167.124,45.866,2.005,0,3,3,0,0,677,525,28,9,471.535,7.656,0.409,0.000,0.000,98.591,24.854,0.000,0,5,5,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,0
271,9.0,1357,3289,66,156,1065,33,103,7,124.87,0.765,1.198,0.145,0.086,0.111,-0.545,1.576,0.3542,2.8525,0.489,0.391,0.072,0.083,-0.054,83,28,49,0,2,0,53977.39,982.425,21925.657,44.720,163.479,17.347,5654.266,2847.344,9.964,12473.683,9978.947,1790.838,836.620,243.474,0.000097,0.001050,43,0,46,3,31,29,9966,15,3,8.146,243,15,14,4,1,9,0,685,183,141,15,0,120,6,7444,369,17,4072.430,3431.423,97.497,0.374,7.992,1381.409,521.652,14.838,47,19,6,13,0,1818,19857,1335,7,29522.475,17740.753,40.254,0.986,0.000,2924.273,2016.387,26.053,308,36,6,29,1,3068,2029,117,1,1312.889,429.070,5.997,1.219,0.000,414.806,109.840,1.546,2,5,4,1,0,1301,1233,85,2,980.620,183.279,1.851,15.928,0.000,269.055,56.926,3.051,0,7,6,0,1,1810,745,59,1,641.139,50.324,0.240,18.068,0.154,144.271,36.900,1.259,1,4,1,3,0,767,410,27,0,412.500,7.102,0.000,0.000,0.000,68.368,16.121,0.046,0,5,5,0,0,1315,0,0,0,0,0,0,0,0,0,0,0,0
301,10.0,1625,2207,58,154,1349,26,96,5,128.71,0.755,1.268,0.142,0.077,0.099,-0.561,1.572,0.3489,3.0852,0.484,0.370,0.058,0.082,-0.058,101,29,67,0,3,0,62261.35,1021.531,24414.176,61.086,168.957,16.731,6890.228,3902.175,11.627,12624.112,10099.290,2617.906,936.093,329.982,0.000118,0.001099,37,0,59,8,55,47,12826,0,8,39.286,209,19,19,7,0,12,0,695,201,167,5,0,161,1,8240,399,9,4387.978,3744.157,29.929,0.616,23.448,1536.853,606.463,14.745,36,14,6,6,2,1644,28121,1501,23,33512.501,20041.127,133.230,3.749,14.740,4134.431,2999.728,32.105,324,61,11,50,0,4334,1947,97,2,1178.124,396.060,4.572,0.000,1.098,396.457,109.243,2.016,1,3,2,1,0,842,1017,65,2,775.039,149.675,1.075,3.566,0.000,221.417,49.615,1.008,0,6,4,1,1,1697,635,25,1,259.393,21.019,0.151,13.870,0.000,119.730,33.705,1.948,0,4,3,1,0,1149,255,10,0,127.500,1.006,0.000,0.000,0.000,39.201,10.595,0.014,0,3,3,0,0,858,0,0,0,0,1,0,0,0,0,0,0,0
